,mean_proximity,z-score,p-value,No.of.Targets,Mean_degrees
DB09098,1.85416666666667,-1.73999157504385,0.0409302486622745,1,228
DB12250,1.85416666666667,-1.92758599038162,0.0269533214102525,1,228
DB00446,2.18055555555556,-0.672235142779076,0.250717005851163,1,35
DB03758,1.77083333333333,-2.86148202031122,0.002108327099578,2,313.5
DB08045,1.65972222222222,-2.63309719017695,0.00423050659502249,1,460
DB08153,1.65972222222222,-2.30837737115259,0.0104890782372685,1,460
DB08292,1.65972222222222,-2.65640965057786,0.00394888053639763,1,460
DB08293,1.65972222222222,-2.57724030931087,0.00497963425820104,1,460
DB08346,1.65972222222222,-2.45179142536727,0.00710735148648528,1,460
DB08464,1.77083333333333,-3.2332604497853,0.00061192964473442,2,313.5
DB08465,1.77083333333333,-2.44156174123191,0.00731194374965573,2,313.5
DB02486,2.19444444444444,-0.482465338347943,0.31473770783564,1,10
DB02943,2.19444444444444,-0.509136722814585,0.305328196425547,1,10
DB03003,2.125,-1.14156617325628,0.126817195678895,2,32
DB03602,2.10069444444444,-1.16086035393803,0.122849346995787,2,51
DB04132,2.08564814814815,-1.81773825143003,0.0345520741812513,3,52
DB13014,2.125,-1.31799302652028,0.0937529911682791,2,32
DB02152,1.90972222222222,-1.70854272157351,0.0437678431970109,1,161
DB06314,1.90972222222222,-1.64197340120961,0.0502977582805336,1,161
DB06896,1.90972222222222,-1.72491531702892,0.0422713673925561,1,161
DB06995,1.90972222222222,-1.49316932899208,0.0676964342213087,1,161
DB06997,1.90972222222222,-1.66783447693976,0.047674294855429,1,161
DB07369,1.90972222222222,-1.52647124998999,0.0634462725676335,1,161
DB07969,1.90972222222222,-1.36692827690079,0.0858238938791705,1,161
DB08079,1.90972222222222,-1.71095976558421,0.0435442702229011,1,161
DB08791,1.90972222222222,-1.69006968421499,0.0455073119452922,1,161
DB08865,1.90972222222222,-1.52669685645246,0.0634182047343177,1,161
DB08875,1.90972222222222,-1.34591983064189,0.0891641863336325,1,161
DB11791,1.90972222222222,-1.56758932524931,0.0584885024703333,1,161
DB12200,1.90972222222222,-1.57988239309852,0.057066901043734,1,161
DB12742,1.90972222222222,-1.73017552348621,0.041799460020584,1,161
DB01087,2.06944444444444,-1.12411336957128,0.130482467114107,1,47
DB04959,2.04513888888889,-1.60393558747318,0.0543641257221441,2,54.5
DB02497,1.99305555555556,-1.56289518968139,0.0590386246469596,1,73
DB02846,1.99305555555556,-1.11454141278459,0.132523494258694,1,73
DB02929,1.99305555555556,-1.43601842665982,0.0754985489954309,1,73
DB03484,1.99305555555556,-1.52996063189123,0.0630132369176767,1,73
DB03935,1.99305555555556,-1.45017486949618,0.0735048805477834,1,73
DB03959,1.99305555555556,-1.24678952307657,0.106237341526834,1,73
DB03981,1.99305555555556,-1.33206254899044,0.0914198177769088,1,73
DB02292,2.625,0.841907451282787,0.800080120408251,1,9
DB02735,2.625,0.916703034862362,0.82035086232048,1,9
DB04985,1.86805555555556,-1.86435067394045,0.031136237477128,1,203
DB00197,2.05555555555556,-1.12181549812576,0.130970447630353,1,54
DB00363,2.05555555555556,-1.04673673886263,0.147610507158603,1,54
DB01242,2.05555555555556,-1.14442949623426,0.126222780721983,1,54
DB01834,2.05555555555556,-1.33270145916978,0.091314897115631,1,54
DB02633,2.06944444444444,-1.65357877168275,0.0491065644308739,2,39.5
DB03619,2.05555555555556,-0.965016152552954,0.167268360738744,1,54
DB03686,2.05555555555556,-1.18744944828302,0.11752519260878,1,54
DB03814,2.04340277777778,-2.1952041965888,0.0140744766909937,4,77.5
DB04339,2.05555555555556,-1.15427984003928,0.124192729456506,1,54
DB04972,2.05555555555556,-1.13943807866662,0.127260240647157,1,54
DB05460,2.05555555555556,-0.917807327072993,0.179359872801705,1,54
DB07849,2.05555555555556,-1.07123079041975,0.142032835131592,1,54
DB08370,2.05555555555556,-1.23543067161745,0.108335131798325,1,54
DB11831,2.05555555555556,-1.08017826864163,0.140031401772923,1,54
DB00786,2.33101851851852,-0.239528046378926,0.405348075721437,3,46.3333333333333
DB08271,2.60416666666667,0.886228229832095,0.812252722766714,1,13
DB04396,1.94444444444444,-1.34208529346293,0.0897841708725312,1,161
DB00608,1.98611111111111,-1.25124774759308,0.105422051402899,1,93
DB05869,1.98611111111111,-1.48715694714851,0.068486681951342,1,93
DB02140,2.19444444444444,-0.643607433925339,0.259915014222922,1,23
DB03120,2.19444444444444,-0.655236108492715,0.256157874771849,1,23
DB08526,2.19444444444444,-0.504189716699812,0.307064032991956,1,23
DB12893,2.21759259259259,-0.937413261043051,0.174273011109746,3,107.333333333333
DB00277,1.99722222222222,-2.62067818407614,0.00438775287723251,5,165.6
DB02498,1.79166666666667,-1.86455051797003,0.0311222171155872,1,298
DB02690,1.79166666666667,-1.93527387520418,0.0264783482169597,1,298
DB03072,1.79166666666667,-1.83475708908719,0.0332708446355506,1,298
DB03073,1.79166666666667,-2.11611428463216,0.0171675444358585,1,298
DB03509,1.79166666666667,-2.28768978236242,0.0110777965764044,1,298
DB03722,1.79166666666667,-2.16009004869856,0.0153828496208609,1,298
DB04010,1.79166666666667,-2.45344702369319,0.00707471896906745,1,298
DB07096,1.79166666666667,-1.99655619930977,0.0229367074991999,1,298
DB07232,1.79166666666667,-1.78556703376693,0.0370846942911559,1,298
DB07330,1.79166666666667,-1.66549732075936,0.0479067888567575,1,298
DB07787,1.79166666666667,-1.90084302420409,0.0286612883797427,1,298
DB09074,1.79166666666667,-2.03470069995318,0.0209404988676848,1,298
DB11760,1.79166666666667,-2.03872700471615,0.0207386405129648,1,298
DB11793,1.79166666666667,-1.95656411226509,0.0251993689113119,1,298
DB12332,1.79166666666667,-2.10542332497063,0.0176272375944863,1,298
DB13877,1.79166666666667,-2.23780531835668,0.0126168767258876,1,298
DB03600,2.35416666666667,-0.189715182346583,0.424766161540511,2,26
DB01197,2.07638888888889,-0.928527256159917,0.176567068057009,1,37
DB02062,2.07638888888889,-1.0573703634925,0.145171295861474,1,37
DB02352,1.95138888888889,-2.09197417426104,0.0182204129967067,2,149
DB03366,2.03819444444444,-2.28973337598396,0.0110183886906576,4,64.5
DB03424,2.07638888888889,-1.06525030578489,0.143381337136165,1,37
DB05177,2.07638888888889,-1.13011514070532,0.129213855335099,1,37
DB06828,2.07638888888889,-1.0811522996397,0.139814686177464,1,37
DB06851,2.07638888888889,-0.971378518527915,0.165679910834425,1,37
DB06917,2.07638888888889,-1.19632945524512,0.115784009278209,1,37
DB07094,2.07638888888889,-1.08556130958039,0.138836562555961,1,37
DB07099,2.07638888888889,-1.10952066549931,0.133602817248778,1,37
DB07102,2.07638888888889,-1.0314669553819,0.151160948285083,1,37
DB07104,2.07638888888889,-1.08779972301987,0.138341765920721,1,37
DB07196,2.07638888888889,-1.06379158932727,0.143711561146755,1,37
DB07237,2.07638888888889,-1.0636576928925,0.143741898296846,1,37
DB07258,2.07638888888889,-1.0109980605379,0.156008679027498,1,37
DB07259,2.07638888888889,-1.03248628419698,0.150922184846994,1,37
DB07260,2.07638888888889,-1.29109027952652,0.0983361871530455,1,37
DB07292,2.07638888888889,-0.935420135124248,0.174785912101975,1,37
DB08040,2.07638888888889,-1.0557937113608,0.145531235969827,1,37
DB08466,2.07638888888889,-1.13444322154981,0.128304338857775,1,37
DB11781,2.06944444444444,-1.84744737921546,0.0323411639238655,2,38
DB02542,1.80555555555556,-1.9749409129139,0.0241374268848202,1,188
DB00477,1.9375,-1.39677908803112,0.0812400063390399,1,159
DB00527,1.9375,-1.70611444403414,0.0439933869002072,1,159
DB00622,1.9375,-1.3861110651559,0.0828564960542691,1,159
DB00623,1.9375,-1.56426430132216,0.0588777560054914,1,159
DB00831,1.96527777777778,-1.92282878232821,0.0272507780633035,2,138
DB00836,1.9375,-1.40664945497068,0.0797656802983939,1,159
DB00850,1.9375,-1.62181761556884,0.0524212027459224,1,159
DB00925,1.9375,-1.50395536014383,0.0662964305766645,1,159
DB01023,1.9375,-1.76990451583547,0.03837152421525,1,159
DB01065,1.93055555555556,-2.00770231250609,0.0223374673795004,2,160
DB01069,2.12152777777778,-1.2045841242002,0.114181944247387,2,88.5
DB01100,1.9375,-1.39327385930605,0.0817684961754751,1,159
DB01115,1.9375,-1.3356295980465,0.0908351854527304,1,159
DB01429,1.9375,-1.73625624515983,0.0412592680552896,1,159
DB02868,1.9375,-1.49121362499072,0.0679527088072202,1,159
DB03900,1.9837962962963,-2.26414160893439,0.0117827032693086,3,97.3333333333333
DB03977,1.98958333333333,-2.02253128499685,0.0215607474764257,2,122.5
DB04513,1.9375,-1.51053700278845,0.0654532274619542,1,159
DB04825,1.9375,-1.45625627254347,0.0726608943468387,1,159
DB04841,1.9375,-1.44907513081046,0.0736583011331376,1,159
DB08039,1.9375,-1.47249523052082,0.0704435970094507,1,159
DB13800,1.9375,-1.5422538502404,0.0615059593978003,1,159
DB05434,1.93055555555556,-1.63735625361276,0.0507780266177693,1,119
DB05484,1.93055555555556,-1.68073554077405,0.0464071469868838,1,119
DB05855,1.93055555555556,-1.47260251146338,0.0704291236105864,1,119
DB06083,1.93055555555556,-1.4351856839012,0.0756170960122358,1,119
DB00284,2.125,-0.848622861312115,0.19804559089096,1,25
DB00491,2.08333333333333,-1.49292683262418,0.0677281702287124,2,44.5
DB05200,2.125,-0.950287281225923,0.170983149871,1,25
DB01790,1.95138888888889,-1.51198166164954,0.0652692639038488,1,116
DB02315,1.95138888888889,-1.58488922990135,0.0564957519831111,1,116
DB02527,1.95138888888889,-1.51299396470416,0.0651405959486331,1,116
DB05798,1.98958333333333,-1.84744533036079,0.0323413122730229,2,96.5
DB00025,1.88078703703704,-3.97974525523514,3.44945774718286e-05,6,195.666666666667
DB13998,1.88078703703704,-4.20847989408556,1.28547200198613e-05,6,195.666666666667
DB13999,1.88078703703704,-4.24936337231293,1.07189459129265e-05,6,195.666666666667
DB07045,1.79166666666667,-2.87533422746808,0.00201800008951664,2,333.5
DB11059,2.13888888888889,-0.654189245303679,0.256494944773527,1,28
DB04315,1.9084595959596,-6.48269406030233,4.50495410159289e-11,22,194.727272727273
DB00762,1.86111111111111,-1.82130450279235,0.0342802911809409,1,213
DB01030,1.86111111111111,-1.64832541684906,0.0496429558798522,1,213
DB04690,1.86111111111111,-1.92082057106616,0.0273771660658788,1,213
DB04882,1.86111111111111,-1.80853446490246,0.0352616788932254,1,213
DB04967,1.88194444444444,-2.39625896771996,0.00828169161913613,2,170.5
DB05129,1.86111111111111,-1.71697616651615,0.0429917633888795,1,213
DB05482,1.86111111111111,-1.6540055871334,0.0490631887509531,1,213
DB05630,1.86111111111111,-1.75321139900567,0.0397828635477682,1,213
DB05806,1.86111111111111,-1.85399651065432,0.031869829600995,1,213
DB06069,1.86111111111111,-1.87970497455629,0.0300741486231078,1,213
DB06159,1.86111111111111,-1.65459211208016,0.0490036323158613,1,213
DB07354,1.86111111111111,-1.77194535871083,0.0382018139864021,1,213
DB08159,1.86111111111111,-1.87283610205734,0.0305455104963408,1,213
DB11254,1.92013888888889,-2.30766659250328,0.0105088437745894,2,149
DB14962,1.86111111111111,-1.7378448514147,0.0411190776247052,1,213
DB08373,2.15277777777778,-0.911749429663664,0.180950318442563,1,15
DB02900,2.05902777777778,-1.52764377766437,0.0633005031093622,2,51.5
DB13173,2.04861111111111,-0.976525398929802,0.164402083826776,1,48
DB03017,2.2962962962963,-0.597438649575404,0.275107277967559,3,16.3333333333333
DB03704,2.15972222222222,-0.839777420174487,0.200516597970065,1,25
DB04153,2.15972222222222,-0.762575703320099,0.222858239609831,1,25
DB00688,1.97222222222222,-1.42698987458723,0.0767914066079724,1,107
DB00811,1.97222222222222,-1.5719812706821,0.0579774474472654,1,107
DB01024,1.97222222222222,-1.39328212419534,0.0817672470221001,1,107
DB01033,1.97222222222222,-1.44292722404309,0.074520486613641,1,107
DB03070,1.97222222222222,-1.31908862355661,0.093569743011465,1,107
DB03948,1.97222222222222,-1.34669516970698,0.0890392142999589,1,107
DB04566,1.97222222222222,-1.33992020833821,0.0901356436958625,1,107
DB06103,1.97222222222222,-1.23777940225289,0.10789893396534,1,107
DB00148,2.02083333333333,-1.17358794804705,0.120280055432782,1,53
DB13191,2.02083333333333,-1.06435502625642,0.14358394959898,1,53
DB03994,2.22916666666667,-0.389610748960022,0.348412201270345,1,18
DB06773,1.82638888888889,-2.19506637000688,0.0140794185830046,1,198
DB03223,1.81944444444444,-1.79077947138245,0.0366643453991269,1,269
DB08348,1.81944444444444,-1.89354553438663,0.0291426794016052,1,269
DB11823,1.81944444444444,-1.80888345385415,0.0352345557408834,1,269
DB12688,1.81944444444444,-2.25288155108286,0.0121333092013025,1,269
DB00036,2.03472222222222,-1.21367178165927,0.112436542035616,1,68
DB06552,2.03472222222222,-1.27824187771314,0.100582077210033,1,68
DB07207,2.03472222222222,-1.24405966359815,0.106738802529409,1,68
DB07247,2.03472222222222,-1.21074207868409,0.112997135027257,1,68
DB08232,2.03472222222222,-1.0924937673523,0.137308064246084,1,68
DB13150,2.03472222222222,-1.11043753090744,0.13340526652847,1,68
DB01880,2.02083333333333,-1.09864283186074,0.13596194369382,1,72
DB02728,2.02083333333333,-1.1010788391694,0.13543117293132,1,72
DB07718,2.02083333333333,-1.37732117948871,0.0842064849629863,1,72
DB07888,2.02083333333333,-1.2467412117879,0.10624620124345,1,72
DB08333,2.02083333333333,-1.38915200130536,0.0823932668939701,1,72
DB08334,2.02083333333333,-1.4012240780243,0.0805735381321787,1,72
DB08335,2.02083333333333,-1.11849692075202,0.131677410456716,1,72
DB08765,2.02083333333333,-1.10283373341076,0.135049687928601,1,72
DB00282,1.96875,-2.20373546759396,0.0137714766419929,2,149.5
DB00399,2.09027777777778,-0.990285906528468,0.16101719660269,1,38
DB00630,2.01388888888889,-1.86958926900018,0.0307704382969652,2,97.5
DB00710,2.09027777777778,-1.07076084009457,0.142138489432051,1,38
DB00884,2.09027777777778,-0.843479725959786,0.199480099907706,1,38
DB01785,2.16319444444444,-0.922088581724978,0.178241186178183,2,25.5
DB02508,2.09027777777778,-1.05015097694062,0.146824352224549,1,38
DB02552,2.09027777777778,-0.900175800511544,0.184013351124371,1,38
DB04714,2.09027777777778,-0.843964750368765,0.199344551737903,1,38
DB06255,1.984375,-2.79623776211161,0.00258506747793318,4,124
DB06548,2.09027777777778,-1.02845967988383,0.151866823921494,1,38
DB07780,2.125,-1.47000571639462,0.0707801028918596,2,34.5
DB07841,2.125,-1.27329582133948,0.101456544486133,2,34.5
DB01733,1.86805555555556,-1.73899729721496,0.0410176191692655,1,188
DB02726,1.92013888888889,-2.0945031609354,0.0181075908917569,2,134.5
DB07628,1.86805555555556,-1.86718568697687,0.0309378308374098,1,188
DB07692,1.86805555555556,-1.62710323152644,0.0518575874155254,1,188
DB07697,1.86805555555556,-1.68886287230625,0.0456228558750526,1,188
DB02103,1.88194444444444,-1.6601329991049,0.0484438498464634,1,167
DB02935,1.88194444444444,-1.69102253139144,0.0454162497264818,1,167
DB03719,1.88194444444444,-1.73926822495347,0.0409937968665594,1,167
DB00626,2.14583333333333,-0.855710176492627,0.196079054933653,1,25
DB00026,2.07638888888889,-1.12562710216858,0.130161695699081,1,56
DB05207,2.07638888888889,-1.01829728212407,0.154268349821341,1,56
DB05303,2.07638888888889,-1.02859523892707,0.151834958087907,1,56
DB10770,2.02083333333333,-2.05722193466594,0.019832441272919,3,121.333333333333
DB00435,2.45138888888889,0.250643452180388,0.598955108098114,1,13
DB07636,2.12962962962963,-1.68929682051055,0.0455812811962375,3,62
DB00130,2.02777777777778,-1.31915500331254,0.0935586489227641,1,41
DB00973,2.13541666666667,-1.25400559167466,0.104919986508021,2,49
DB06196,2.25,-0.579243609261194,0.28121240461306,1,8
DB00033,2.05208333333333,-1.71681944882523,0.0430060831211836,2,46
DB02696,2.13194444444444,-0.954381384635234,0.169945312801494,1,34
DB03013,2.13194444444444,-0.78379856232465,0.216579158789995,1,34
DB03501,2.13194444444444,-0.885648466227628,0.187903493055597,1,34
DB03685,2.13194444444444,-0.841585997709961,0.200009864846129,1,34
DB00170,2.08333333333333,-0.952846969198988,0.170333806217673,1,25
DB00266,2.08333333333333,-0.887947330514685,0.187284541717899,1,25
DB01927,2.08333333333333,-1.14071199920409,0.126994895770405,1,25
DB02395,2.08333333333333,-0.968526407340933,0.166390768572685,1,25
DB02400,2.08333333333333,-1.09223256546178,0.137365446004713,1,25
DB03626,2.08333333333333,-1.10980618455096,0.133541276855108,1,25
DB04090,2.08333333333333,-1.20778081927788,0.113565790606302,1,25
DB04392,2.08333333333333,-0.962250424442031,0.167961912654348,1,25
DB07385,2.08333333333333,-0.993545274825168,0.160222149094404,1,25
DB06584,1.95833333333333,-1.38646596583027,0.082802332865302,1,107
DB08492,2.5625,0.775733380317656,0.781046786839833,1,6
DB06550,2.00694444444444,-1.20113062617406,0.114850267303333,1,124
DB05122,1.96527777777778,-1.40547445236579,0.079940120510294,1,141
DB01698,2.48611111111111,0.383344218224018,0.649267721341297,2,24
DB03394,2.09027777777778,-1.03910910789348,0.149376997774286,1,40
DB03556,2.09027777777778,-0.914817238681094,0.180143791673884,1,40
DB04463,2.09027777777778,-0.889375738974497,0.186900589571706,1,40
DB04465,2.24074074074074,-0.825532213941047,0.204534750779688,3,69.6666666666667
DB05319,2.32638888888889,-0.218295105479728,0.413599593885558,1,29
DB05831,2.32638888888889,-0.0303980308105169,0.487874807658506,1,29
DB06607,2.32638888888889,-0.0802801933703853,0.46800720538157,1,29
DB09336,2.32638888888889,-0.0628710857805002,0.474934579742012,1,29
DB11075,2.32638888888889,-0.226389859729598,0.410449106992302,1,29
DB00008,2.01388888888889,-1.29334084484963,0.0979465999219135,1,68
DB00011,2.01388888888889,-1.23840538594715,0.107782892288397,1,68
DB00018,2.01388888888889,-1.30861035129437,0.0953331863780723,1,68
DB00022,2.01388888888889,-1.3150153434131,0.0942523729512946,1,68
DB00034,2.01388888888889,-1.24938679693481,0.105761817574405,1,68
DB00060,2.01388888888889,-1.2841155439101,0.0995507650345127,1,68
DB00068,2.01388888888889,-1.20855735937058,0.113416473320328,1,68
DB00069,2.01388888888889,-1.21976190410169,0.11127757345107,1,68
DB00105,2.01388888888889,-1.31841117688425,0.0936830206369815,1,68
DB05258,2.01388888888889,-1.39161427314341,0.0820196171733985,1,68
DB05472,2.01388888888889,-1.20486985500251,0.114126773767505,1,68
DB14999,2.01388888888889,-1.16758095556633,0.121487917908222,1,68
DB00118,2.12962962962963,-1.53063217551449,0.0629301624897353,3,27.6666666666667
DB01917,2.18055555555556,-0.761119498470169,0.223292847602589,1,21
DB08163,2.18055555555556,-0.677700366296594,0.248980847071438,1,21
DB02261,2.10416666666667,-1.0436264539166,0.148329124382315,1,20
DB03633,2.10416666666667,-0.852514227526641,0.196964372899156,1,20
DB04660,2.10416666666667,-0.895369324016812,0.18529484664509,1,20
DB01827,1.92361111111111,-1.56593380291007,0.0586820576396224,1,176
