,mean_proximity,z-score,p-value,No.of.Targets,Mean_degrees
DB08611,2.2,-0.626830444259168,0.265385192489363,1,44
DB08752,2.2,-0.553334237408252,0.290017280485653,1,44
DB08755,2.2,-0.576391809251244,0.282175189727258,1,44
DB01003,2.22,-0.493719697987098,0.310752075930965,1,26
DB05983,1.71333333333333,-2.13606790808218,0.0163369395434002,1,433
DB06543,1.71333333333333,-1.76276209672924,0.038970311313791,1,433
DB03397,2.44,0.413653384293831,0.660436014535429,2,20
DB01229,1.98,-1.54565911100071,0.0610934586058702,1,109
DB01248,1.98,-1.60467212263499,0.0542829900231438,1,109
DB06486,1.69666666666667,-3.56268245822845,0.000183542301971934,2,469.5
DB08059,1.74666666666667,-2.35388427103895,0.00928919708672081,1,400
DB02116,1.70666666666667,-2.09429021668856,0.0181170676576512,1,468
DB02482,1.83,-2.76633908566705,0.00283447773676935,2,286.5
DB02733,1.77333333333333,-2.82262855316593,0.00238158608756015,2,375
DB04338,1.77,-2.60468291852041,0.00459796598111169,2,377
DB06195,1.81333333333333,-3.00952961931745,0.00130826282529818,2,313
DB06641,1.67666666666667,-3.01863758400668,0.00126957039496309,2,503.5
DB06877,1.70666666666667,-2.39403045825829,0.00833218244163168,1,468
DB07010,1.79333333333333,-2.95769068217371,0.00154976489031771,2,332
DB07264,1.70666666666667,-2.38691695336287,0.00849516439705839,1,468
DB07788,1.70666666666667,-1.9940708220161,0.0230721576912831,1,468
DB07794,1.70666666666667,-2.22056924793307,0.0131900753019533,1,468
DB07905,1.70666666666667,-2.46927264466731,0.00676940104105885,1,468
DB08521,1.77,-3.20681693051236,0.000671061879979357,2,377
DB11120,1.70666666666667,-2.4304084885742,0.00754090705514388,1,468
DB13930,1.70666666666667,-2.4047465424041,0.00809184288968548,1,468
DB02386,2.03333333333333,-1.10516621827051,0.134543785923475,1,49
DB07448,2.03333333333333,-1.23355442560278,0.108684492136171,1,49
DB08766,2.03333333333333,-1.26042484770746,0.10375807135516,1,49
DB00768,2.15,-1.17313690378626,0.120370454798648,2,48.5
DB03929,2.14666666666667,-0.688252015678581,0.245647046585937,1,38
DB03608,2.04666666666667,-1.2224923506646,0.110760747410287,1,56
DB02563,2.00666666666667,-1.18939480355976,0.117142172359463,1,83
DB03059,2.00666666666667,-1.1790182778931,0.119195448867417,1,83
DB04117,2.00666666666667,-1.34165610280829,0.0898537631930786,1,83
DB09568,2.00666666666667,-1.18362643532887,0.118280485591209,1,83
DB03403,2.10666666666667,-0.976126358804369,0.164500925304575,1,16
DB03435,2.10666666666667,-1.10924140158625,0.133663028280602,1,16
DB03664,2.10666666666667,-0.794016087653621,0.213593032907252,1,16
DB04444,2.09555555555556,-1.80110038340636,0.0358435296661996,3,45.3333333333333
DB02506,1.88,-3.78497711933155,7.68613605136113e-05,5,226
DB06905,1.87777777777778,-3.37921907722578,0.000363460281498398,3,222
DB04608,1.90666666666667,-1.57859425858188,0.0572145762137953,1,178
DB07006,1.90666666666667,-1.67680472997913,0.0467903362575533,1,178
DB07226,1.90666666666667,-1.70190593841175,0.0443865012006343,1,178
DB07257,1.90666666666667,-1.72077727186236,0.0426456241081322,1,178
DB07265,1.90666666666667,-1.52267380029682,0.0639201679368787,1,178
DB08365,1.90666666666667,-1.61157308525374,0.0535274357245775,1,178
DB11740,1.90666666666667,-1.58415090284015,0.0565796914980761,1,178
DB00091,2.00333333333333,-1.63254121714118,0.051282761496158,2,90
DB02078,2.05333333333333,-1.63737142384063,0.0507764426766648,2,61
DB08168,2.11333333333333,-0.882259044831714,0.188818369248047,1,37
DB03062,2.04,-1.29653229738578,0.0973960801757262,1,57
DB01178,2.34,-0.243715986255709,0.403725395700706,1,18
DB01198,2.34,-0.255401437764593,0.399206530215491,1,18
DB00123,2.54,0.865571396563661,0.806637376469753,2,18
DB04657,1.98,-1.2358330095033,0.108260321115351,1,148
DB09270,1.98,-1.19352754017227,0.1163314164874,1,148
DB01645,1.82444444444444,-3.54302533752269,0.000197782347490474,3,318.333333333333
DB05971,1.64666666666667,-2.59705280635798,0.00470137337380147,1,539
DB07584,1.70333333333333,-3.57265145950029,0.000176692484871931,2,468
DB07585,1.70333333333333,-3.31796058307295,0.000453386398777592,2,468
DB07812,1.84,-3.26814678695338,0.000541271026915534,2,302.5
DB07859,1.84,-2.7880701186654,0.00265115330121918,2,302.5
DB07947,1.84,-2.91334730987107,0.0017878832974954,2,302.5
DB08073,1.84,-2.65254116907606,0.00399441924571278,2,302.5
DB04741,2.01333333333333,-1.25935151496337,0.103951696913267,1,86
DB00563,1.96,-1.48592707335883,0.0686492058081314,1,74
DB01700,1.96,-1.69664521566447,0.0448818779588328,1,74
DB01972,2.05111111111111,-2.22865484566746,0.0129184394078676,3,58.3333333333333
DB02309,1.96,-1.4514791883281,0.0733232366387427,1,74
DB03442,1.96,-1.42872655363655,0.0765414213285763,1,74
DB04057,1.96,-1.58712044222369,0.0562426844277891,1,74
DB04048,1.99333333333333,-1.32162816175866,0.0931460004699973,1,89
DB01138,2.11333333333333,-0.855245082726138,0.196207741471824,1,40
DB04851,2.11333333333333,-0.889093611052346,0.186976386131416,1,40
DB06176,1.84666666666667,-3.59163247138923,0.000164306532903772,3,339.333333333333
DB08855,2.11333333333333,-0.97173655656481,0.165590812675505,1,40
DB02580,1.99333333333333,-1.20518385842406,0.114066166155946,1,85
DB03904,1.66,-2.67929750276533,0.00368884060287567,1,519
DB01110,1.9,-1.70592631706131,0.0440108995912824,1,179
DB01686,1.9,-1.47579434404104,0.0699995547872311,1,179
DB01835,1.9,-1.77434685917054,0.0380028970300801,1,179
DB01997,1.9,-1.82551286937572,0.0339618354635236,1,179
DB02044,1.9,-1.44655569607161,0.0740107011233815,1,179
DB02207,1.9,-1.82261171207432,0.0341811102483477,1,179
DB02234,1.9,-1.65404947135464,0.0490587306950999,1,179
DB02462,1.9,-1.68884872565025,0.0456242117172152,1,179
DB02644,1.9,-1.69110203890197,0.0454086579385301,1,179
DB03100,1.9,-1.63674404608707,0.0508419807546842,1,179
DB03144,1.9,-1.62016632596361,0.0525982764419444,1,179
DB03449,1.9,-1.70646337504508,0.0439609198809701,1,179
DB03953,1.9,-1.53635067545781,0.0622261985487188,1,179
DB04400,1.9,-1.46129867344877,0.0719667468830949,1,179
DB04534,1.9,-1.64499051001894,0.0499858840664041,1,179
DB05214,1.9,-1.65815658650007,0.048642932422767,1,179
DB05252,1.9,-1.51793182536776,0.0645157929840895,1,179
DB05383,1.9,-1.7081107961226,0.0438078930230624,1,179
DB06879,1.9,-1.9785535007584,0.0239331496762559,1,179
DB06916,1.9,-1.58534543566985,0.0564439355699739,1,179
DB07002,1.9,-1.56222849553124,0.059117084975863,1,179
DB07003,1.9,-1.75483366405196,0.0396438817737502,1,179
DB07007,1.9,-1.70631598881197,0.0439746313847508,1,179
DB07008,1.9,-1.54758046326349,0.0608616690626699,1,179
DB07011,1.9,-1.71126878699469,0.0435157527779014,1,179
DB07029,1.9,-1.72193766033068,0.0425404059460876,1,179
DB07306,1.9,-1.57609769703754,0.0575016448587723,1,179
DB07318,1.9,-1.63457803858839,0.0510687672807347,1,179
DB07388,1.9,-1.78699598847097,0.0369690684680602,1,179
DB07389,1.9,-1.99471720706108,0.0230368658028857,1,179
DB07405,1.9,-1.58240187609095,0.0567789283574455,1,179
DB08214,1.9,-1.61099670172773,0.0535902206665859,1,179
DB08750,1.9,-2.01575880075863,0.0219126018018422,1,179
DB09237,1.9,-1.73340289220149,0.0415120419495873,1,179
DB11327,1.9,-1.79699295751128,0.0361683688972147,1,179
DB15495,1.88333333333333,-2.24770552529379,0.0122974867272781,2,207.5
DB15496,1.88333333333333,-2.40722090987102,0.00803722158968244,2,207.5
DB03401,1.91333333333333,-2.85028050700629,0.00218403436613253,3,199
DB00973,1.97333333333333,-1.50863646727334,0.0656958547761191,1,100
DB01094,1.97333333333333,-1.44300557989925,0.0745094496920775,1,100
DB00338,1.97333333333333,-1.60399036179478,0.0543580885582047,1,86
DB00379,1.97333333333333,-1.60579038694022,0.0541599867589701,1,86
DB00393,1.97333333333333,-1.28145176045893,0.100017516746244,1,86
