,mean_proximity,z-score,p-value,No.of.Targets,Mean_degrees
DB06905,1.78571428571429,-1.59468073440377,0.0553918241845825,2,117.5
DB05540,1.91428571428571,-0.745095341368979,0.22810704260285,1,23
DB04657,1.77142857142857,-1.31998097044709,0.0934206857706385,1,99
DB08689,1.77142857142857,-1.33675782947704,0.0906508492520366,1,99
DB09270,1.77142857142857,-1.28256123376235,0.0998229195326995,1,99
DB04741,1.85714285714286,-0.85009946161305,0.197634895466276,1,43
DB00563,1.85714285714286,-0.787009773660232,0.215638072386147,1,55
DB00642,1.85714285714286,-1.04150680399987,0.148820198522912,1,55
DB01700,1.85714285714286,-1.01901122844943,0.154098817938813,1,55
DB01972,1.88571428571429,-1.00092190709281,0.15843228223125,2,52
DB02309,1.85714285714286,-0.864659311320625,0.193612904114171,1,55
DB03442,1.85714285714286,-0.8665374078515,0.193097760755012,1,55
DB04057,1.85714285714286,-1.08735956645348,0.138438966553623,1,55
DB02482,1.97142857142857,-0.526044116937131,0.299428777411827,1,63
DB02153,1.91428571428571,-0.741765970355175,0.229114570890554,1,53
DB04048,1.91428571428571,-0.638300807086088,0.261638943363671,1,53
DB00145,1.85714285714286,-0.944050787022288,0.172571848023177,1,52
DB02078,2,-0.446211383443276,0.327722280441955,1,30
DB02580,2,-0.46514075471866,0.320915331126766,1,30
DB03904,1.82857142857143,-0.912504267306447,0.180751662091594,1,116
DB15495,1.81428571428571,-1.53463853381779,0.0624363209195254,2,86
DB15496,1.81428571428571,-1.57147290145457,0.0580364220256083,2,86
DB00055,2.88571428571429,2.99461677495059,0.998626050759809,1,7
DB03401,1.85714285714286,-1.25829232497742,0.104143027913143,2,74.5
DB02835,2.02857142857143,-0.230929092115792,0.408684944630794,1,37
DB04397,2.02857142857143,-0.333405632173175,0.369414056141018,1,37
DB04530,2.31428571428571,0.769712864953983,0.779264881494718,1,17
DB06733,1.82857142857143,-1.05914117452229,0.14476774530461,1,90
DB06734,1.82857142857143,-0.927326676993279,0.176878473764902,1,90
DB02494,1.74285714285714,-2.99881135490537,0.0013551753289217,6,129
DB04865,1.74285714285714,-1.2390394425352,0.107665445769455,1,135
DB07374,1.74285714285714,-3.50062063987139,0.000232088045234913,6,129
DB08437,1.74285714285714,-3.06004450975839,0.00110652049909962,6,129
DB00328,2.88571428571429,3.29340274138506,0.999505087100912,1,4
DB01536,2.88571428571429,2.735178134306,0.996882673688568,1,4
DB02056,2.88571428571429,3.06435078627308,0.998909285184766,1,4
DB02266,2.88571428571429,2.2765023112639,0.988592018785706,1,4
DB07700,2.88571428571429,2.95646345552366,0.998444054470438,1,4
DB05217,2,-0.423796618552589,0.335857072201064,1,10
DB12731,2,-0.276313690760418,0.391153570698314,1,10
DB06098,1.85714285714286,-1.54383951666195,0.0613136077624724,2,53
DB01684,2.02857142857143,-0.452431766594538,0.325478983246347,1,11
DB03535,2.02857142857143,-0.247849739710687,0.402125334288636,1,11
DB03864,2.02857142857143,-0.395599176347126,0.346200372408762,1,11
DB07148,2.02857142857143,-0.23335918105618,0.407741253500075,1,11
DB08738,2.02857142857143,-0.272313044153127,0.3926906636491,1,11
DB08739,2.02857142857143,-0.231843927110265,0.408329618768472,1,11
DB00151,2.17142857142857,0.359982946542126,0.640570056729661,3,12.6666666666667
DB13874,1.88571428571429,-0.883580693181399,0.188461302515751,1,25
DB01034,1.71428571428571,-1.93685026204044,0.0263818249314975,1,86
DB01083,1.71428571428571,-1.53690182218089,0.0621586766190881,1,86
DB00160,1.91428571428571,-0.776697527148194,0.218668623079077,1,34
DB00133,1.88571428571429,-0.908295652558911,0.181861019406325,1,33
DB02162,1.91428571428571,-0.666657026116166,0.252495617211449,1,49
DB02183,1.91428571428571,-0.772045167615915,0.22004383814589,1,49
DB03349,1.91428571428571,-0.80351992180853,0.210837143417517,1,49
DB03192,1.97142857142857,-0.491022202076111,0.311705372301445,1,37
DB00789,1.94285714285714,-0.686555921154301,0.246181306710032,1,40
DB00851,1.94285714285714,-0.724658749286859,0.234330703798057,1,40
DB00920,1.94285714285714,-0.678049859711876,0.248870040193158,1,40
DB03962,1.94285714285714,-0.721940865521948,0.235165417540957,1,40
DB01586,2.57142857142857,1.59686129999474,0.944851686000876,1,8
DB06777,2.57142857142857,1.93150377807594,0.973289608723849,1,8
DB07768,2.57142857142857,2.2183097272919,0.986733139303534,1,8
DB04324,2,-0.496254148642403,0.30985755578376,1,17
DB07901,2,-0.405610174292414,0.342514525993372,1,17
DB07902,2,-0.497357081291398,0.309468632747107,1,17
DB07903,2,-0.375072200521728,0.353803385558971,1,17
DB03384,1.97142857142857,-0.686322366730183,0.246254923803436,1,56
DB05408,1.97142857142857,-0.532453523384249,0.297205961665441,1,56
DB01695,1.85714285714286,-0.913230867358367,0.180560566447596,1,63
DB03026,1.85714285714286,-1.05499929415958,0.145712823781281,1,63
DB03132,1.85714285714286,-0.914707277328629,0.180172661455672,1,63
DB03135,1.85714285714286,-0.897615262816836,0.184695349569751,1,63
DB03314,1.85714285714286,-0.971843622997514,0.165564175095906,1,63
DB03379,1.85714285714286,-0.864618186956215,0.19362419349052,1,63
DB03900,1.85714285714286,-0.93322264263448,0.175352513142767,1,63
DB07387,1.85714285714286,-0.986264615785809,0.162001639274406,1,63
DB02623,1.8,-1.26920759010883,0.102183517342061,1,84
DB02740,2,-0.395030816242516,0.346410072775572,1,30
DB01780,1.2,-3.36905017919844,0.000377138478335687,1,622
DB00091,1.91428571428571,-0.695398536313983,0.24340278878665,1,61
DB01742,1.91428571428571,-0.79182649824421,0.214230924674517,1,61
DB02419,1.91428571428571,-0.742569205188607,0.228871269197891,1,61
DB03393,1.91428571428571,-0.790365041181133,0.21465730612979,1,61
DB01750,1.91428571428571,-0.701924871270331,0.241363008716096,1,78
DB06980,1.91428571428571,-0.770204884902388,0.220589183348802,1,78
DB06981,1.91428571428571,-0.80126595397268,0.211488848154978,1,78
DB06982,1.91428571428571,-0.585373532316802,0.279148290787832,1,78
DB07950,1.91428571428571,-0.754701594148709,0.225214024898438,1,78
DB00163,1.88571428571429,-0.939592670416998,0.173713268683631,1,80
DB00518,1.8,-1.00001755566806,0.158651006011024,1,101
DB00643,1.8,-1.21653794450329,0.111890032835664,1,101
DB04910,1.8,-1.22196783362018,0.110859895659536,1,101
DB00201,1.74285714285714,-1.00379257556782,0.157739301877967,1,151
DB05210,1.74285714285714,-1.22104413396107,0.111034655033991,1,151
DB01631,2.62857142857143,2.51248339328287,0.994005762629575,1,8
DB01672,2.62857142857143,2.20179609999959,0.986160142650012,1,8
