,mean_proximity,z-score,p-value,No.of.Targets,Mean_degrees
DB08888,1.394736842,-3.038085078,0.001190434,1,342
DB00515,2.078947368,-0.078838584,0.468580507,1,14
DB00677,2.078947368,-0.088970003,0.464552875,1,14
DB11397,2.078947368,-0.094059531,0.462530934,1,14
DB02512,1.815789474,-1.078876258,0.140321447,1,90
DB04733,1.815789474,-0.981659522,0.163133807,1,90
DB08240,1.815789474,-1.090657739,0.137711756,1,90
DB09131,2.026315789,-0.247220642,0.402368736,1,21
DB00288,1.736842105,-1.570948383,0.058097319,1,51
DB00741,1.736842105,-1.631887758,0.051351567,1,51
DB00959,1.736842105,-1.402881787,0.080326046,1,51
DB01013,1.736842105,-1.301901117,0.096475095,1,51
DB01222,1.736842105,-1.568743638,0.058353843,1,51
DB01234,1.736842105,-1.403877715,0.080177633,1,51
DB14538,1.736842105,-1.22502679,0.110282563,1,51
DB14539,1.736842105,-1.227000954,0.109911116,1,51
DB14540,1.736842105,-1.349998271,0.088508269,1,51
DB14541,1.736842105,-1.318272332,0.09370625,1,51
DB14542,1.736842105,-1.577194566,0.057375382,1,51
DB14543,1.736842105,-1.539085819,0.061891673,1,51
DB14544,1.736842105,-1.510576871,0.065448145,1,51
DB14631,1.736842105,-1.557698966,0.059652313,1,51
DB14649,1.736842105,-1.45698806,0.072559838,1,51
DB14669,1.736842105,-1.299568957,0.096874372,1,51
DB03893,1.631578947,-1.744985166,0.040493726,1,180
DB02570,1.868421053,-0.71735985,0.236576043,1,42
DB06094,1.789473684,-1.203981915,0.114298284,1,117
DB00390,1.815789474,-1.035995332,0.15010216,1,72
DB00511,1.815789474,-1.152939138,0.124467683,1,72
DB00774,1.815789474,-1.157312537,0.123572347,1,72
DB01021,1.815789474,-1.179191008,0.119161063,1,72
DB01078,1.815789474,-1.145897145,0.125918856,1,72
DB01092,1.815789474,-1.051227208,0.146577125,1,72
DB01119,1.815789474,-1.138332364,0.127490862,1,72
DB01158,1.815789474,-1.11242001,0.132978803,1,72
DB01188,1.815789474,-0.842029031,0.199885852,1,72
DB01244,1.815789474,-1.049468644,0.14698124,1,72
DB01345,1.815789474,-1.120041853,0.131347964,1,72
DB01378,1.815789474,-1.087987907,0.138300223,1,72
DB01396,1.815789474,-1.366259384,0.085928782,1,72
DB01430,1.815789474,-0.942683884,0.172921309,1,72
DB13996,1.815789474,-0.970034775,0.166014579,1,72
DB14498,1.815789474,-1.176082853,0.119780885,1,72
DB14499,1.815789474,-1.051302724,0.146559788,1,72
DB14500,1.815789474,-1.190188492,0.116986158,1,72
DB14514,1.815789474,-1.133028697,0.128601101,1,72
DB14515,1.815789474,-1.12155332,0.131026204,1,72
DB00536,2,-0.267889561,0.394392165,1,27
DB00822,2,-0.245202997,0.403149628,1,27
DB02115,2,-0.331411485,0.370166846,1,27
DB04381,2,-0.337920038,0.367711723,1,27
DB02621,1.842105263,-0.934261045,0.175084627,1,63
DB02093,1.947368421,-0.498426618,0.30909169,1,63
DB02548,1.947368421,-0.503933223,0.307154152,1,63
DB03042,1.947368421,-0.613760217,0.269686895,1,63
DB03581,1.947368421,-0.596475231,0.275428898,1,63
DB03937,1.947368421,-0.609703315,0.271029179,1,63
DB04493,1.947368421,-0.647292068,0.258721467,1,63
DB03381,1.947368421,-0.541614888,0.294041917,1,37
DB02401,1.868421053,-0.87882312,0.189748594,1,94
DB03615,1.710526316,-1.689048381,0.045605079,1,88
DB02216,1.973684211,-0.572183483,0.283598838,1,26
DB03028,1.973684211,-0.359034346,0.359784698,1,26
DB03096,1.973684211,-0.471044803,0.31880437,1,26
DB07542,1.973684211,-0.424947663,0.335437414,1,26
DB08740,1.973684211,-0.478412896,0.316178178,1,26
DB04276,1.921052632,-0.658158803,0.255218047,1,38
DB04653,1.921052632,-0.651247613,0.25744333,1,38
DB07627,1.921052632,-0.616116382,0.268908855,1,38
DB00361,1.552631579,-1.902814028,0.028532408,1,249
DB00541,1.552631579,-1.88692753,0.029585037,1,249
DB00570,1.552631579,-2.152019819,0.015697897,1,249
DB01179,1.552631579,-1.960964206,0.024941599,1,249
DB01394,1.552631579,-1.921953732,0.02730579,1,249
DB05284,1.552631579,-2.361572964,0.009098795,1,249
DB06042,1.552631579,-1.882605539,0.029876923,1,249
DB06137,1.552631579,-2.561364043,0.005213102,1,249
DB11641,1.552631579,-1.926326455,0.027031812,1,249
DB11731,1.552631579,-1.846354854,0.032420349,1,249
DB12334,1.552631579,-2.451610034,0.007110935,1,249
DB15534,1.552631579,-2.188265579,0.014325131,1,249
DB01966,2.026315789,-0.277084525,0.390857602,1,13
DB00205,1.947368421,-0.498787896,0.308964408,1,15
DB02813,1.947368421,-0.640519791,0.260917363,1,15
DB03747,1.947368421,-0.46404018,0.321309479,1,15
DB03861,1.947368421,-0.621777417,0.267044119,1,15
DB07908,1.894736842,-0.730577724,0.232518561,1,53
DB00173,2,-0.457190568,0.323767039,1,18
DB01632,2,-0.34762177,0.364062127,1,18
DB03506,2,-0.309203277,0.378583451,1,18
DB02510,1.684210526,-1.594546529,0.055406839,1,144
DB02684,1.684210526,-1.562632665,0.05906951,1,144
DB03376,1.684210526,-1.422300927,0.077469455,1,144
DB02108,2,-0.435822525,0.33148275,1,25
DB02148,2,-0.379872815,0.352019914,1,25
DB02685,2,-0.352043076,0.362402979,1,25
DB02855,2,-0.371396222,0.35517122,1,25
DB03329,2,-0.401419463,0.344055661,1,25
DB03588,2,-0.299219274,0.382386372,1,25
DB04579,2,-0.264637717,0.395644281,1,25
DB07160,2,-0.368147309,0.356381698,1,25
DB07219,2,-0.248751854,0.401776368,1,25
DB07223,2,-0.403845989,0.343162988,1,25
DB07224,2,-0.421989395,0.336516379,1,25
DB07225,2,-0.304341935,0.3804337,1,25
DB07231,2,-0.280453857,0.389564661,1,25
DB00716,1.552631579,-1.921695481,0.027322043,1,253
DB02359,1.552631579,-2.672339492,0.00376622,1,253
DB02550,1.552631579,-1.974105335,0.024184883,1,253
DB02840,1.552631579,-2.933021041,0.001678406,1,253
DB03093,1.552631579,-1.707486419,0.04386584,1,253
DB03137,1.552631579,-2.134807288,0.016388377,1,253
DB03504,1.552631579,-2.139706201,0.016189259,1,253
DB03749,1.552631579,-1.992498389,0.023158201,1,253
DB03809,1.552631579,-2.147000034,0.015896639,1,253
DB03899,1.552631579,-2.225199813,0.013033914,1,253
DB04054,1.552631579,-2.195149045,0.014076454,1,253
DB04254,1.552631579,-2.117190099,0.017121859,1,253
DB04505,1.552631579,-2.224379112,0.013061474,1,253
DB04588,1.552631579,-1.929455104,0.026837194,1,253
DB06956,1.552631579,-2.305194585,0.010577839,1,253
DB06957,1.552631579,-2.023870141,0.021491757,1,253
DB06958,1.552631579,-2.118687463,0.017058444,1,253
DB06961,1.552631579,-2.160934423,0.015350203,1,253
DB06964,1.552631579,-1.978609259,0.023930008,1,253
DB06969,1.552631579,-2.145029966,0.015975226,1,253
DB07100,1.552631579,-2.514595465,0.005958452,1,253
DB07317,1.552631579,-2.224367994,0.013061848,1,253
DB07319,1.552631579,-1.669890694,0.047470496,1,253
DB07324,1.552631579,-2.119863821,0.017008766,1,253
DB07325,1.552631579,-1.930470654,0.026774274,1,253
DB07495,1.552631579,-1.629430168,0.051610993,1,253
DB07502,1.552631579,-1.864518075,0.031124493,1,253
DB07601,1.552631579,-2.089062558,0.018351046,1,253
DB08194,1.552631579,-1.962663703,0.024842632,1,253
DB08197,1.552631579,-2.114461249,0.017237946,1,253
DB08436,1.552631579,-1.989650387,0.023314731,1,253
DB08442,1.552631579,-2.18379171,0.014488779,1,253
DB08443,1.552631579,-2.036219218,0.020864174,1,253
DB08557,1.552631579,-2.575534243,0.005004268,1,253
DB08786,1.552631579,-1.90595142,0.028328254,1,253
DB08787,1.552631579,-2.139649553,0.016191549,1,253
DB08788,1.552631579,-1.993396203,0.02310904,1,253
DB08789,1.552631579,-1.955718319,0.025249173,1,253
DB12442,1.552631579,-1.90160578,0.028611356,1,253
DB08045,1.578947368,-1.630571005,0.051490436,1,218
DB08153,1.578947368,-2.145972964,0.015937568,1,218
DB08292,1.578947368,-2.331893178,0.009853156,1,218
DB08293,1.578947368,-2.129791519,0.016594415,1,218
DB08346,1.578947368,-1.729076836,0.041897672,1,218
DB02497,1.921052632,-0.631561221,0.263836817,1,36
DB02846,1.921052632,-0.69208437,0.244442173,1,36
DB02929,1.921052632,-0.539681655,0.294708297,1,36
DB03484,1.921052632,-0.637166834,0.262008089,1,36
DB03935,1.921052632,-0.794155528,0.213552447,1,36
DB03959,1.921052632,-0.811415764,0.208563475,1,36
DB03981,1.921052632,-0.690716876,0.244871741,1,36
DB04985,1.789473684,-1.170430842,0.120913815,1,126
DB02175,1.973684211,-0.356748261,0.360640136,1,74
DB00197,2.026315789,-0.13430215,0.446581827,1,20
DB00363,2.026315789,-0.247260508,0.40235331,1,20
DB01242,2.026315789,-0.27837364,0.390362776,1,20
DB01834,2.026315789,-0.322876378,0.373394433,1,20
DB03003,2.026315789,-0.192307789,0.423750559,1,20
DB03619,2.026315789,-0.213856983,0.415329293,1,20
DB03686,2.026315789,-0.309926146,0.37830856,1,20
DB04132,2.026315789,-0.328403517,0.371303292,1,20
DB04339,2.026315789,-0.331032492,0.370309971,1,20
DB04972,2.026315789,-0.340685263,0.366670267,1,20
DB05460,2.026315789,-0.226128519,0.410550732,1,20
DB07849,2.026315789,-0.197980332,0.421530226,1,20
DB08370,2.026315789,-0.207923462,0.417644365,1,20
DB11831,2.026315789,-0.225764393,0.410692336,1,20
DB13014,2.026315789,-0.266902669,0.394772051,1,20
DB03345,1.868421053,-0.817842379,0.206723598,1,71
DB04396,1.868421053,-0.843907768,0.199360474,1,71
DB02140,2.078947368,-0.067928892,0.47292112,1,10
DB03120,2.078947368,0.023619134,0.509421795,1,10
DB08526,2.078947368,0.00561424,0.502239746,1,10
DB00277,1.894736842,-0.766829616,0.221591413,1,134
DB02498,1.894736842,-0.660999511,0.254306314,1,134
DB02690,1.894736842,-0.704465608,0.24057143,1,134
DB03072,1.894736842,-0.712027913,0.238223746,1,134
DB03073,1.894736842,-0.786611734,0.215754594,1,134
DB03509,1.894736842,-0.763380247,0.222618328,1,134
DB03722,1.894736842,-0.875418343,0.190673161,1,134
DB04010,1.894736842,-0.767011179,0.221537435,1,134
DB07096,1.894736842,-0.735441584,0.231035302,1,134
DB07232,1.894736842,-0.757092448,0.224497239,1,134
DB07330,1.894736842,-0.821942685,0.205554759,1,134
DB07787,1.894736842,-0.923427209,0.177892309,1,134
DB09074,1.894736842,-0.815407976,0.20741941,1,134
DB11760,1.894736842,-0.842422367,0.199775789,1,134
DB11793,1.894736842,-0.813782498,0.207884782,1,134
DB12332,1.894736842,-0.643379645,0.259988894,1,134
