"Gene.set","URL","universe.size","goi","goi.in.universe","pathway.size","no.overlap","k.over.K","pvalue","FDR","Overlapping Genes","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83"
"Alzheimer's disease_Homo sapiens_hsa05010",NA,21271,150,83,167,4,0.0239520958083832,0.000497773296757421,0.145847575949924,"COX7A1","CASP8","NDUFA3","GAPDH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bladder cancer_Homo sapiens_hsa05219",NA,21271,150,83,40,2,0.05,0.000509987818055238,0.149426430690185,"MAP2K2","MAP2K1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Endocytosis_Homo sapiens_hsa04144",NA,21271,150,83,258,5,0.0193798449612403,0.000519654233520742,0.152258690421577,"SNX32","NEDD4L","SH3KBP1","WASH1","HSPA2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Estrogen signaling pathway_Homo sapiens_hsa04915",NA,21271,150,83,98,3,0.0306122448979592,0.000589142243428623,0.172618677324586,"MAP2K2","MAP2K1","HSPA2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fatty acid degradation_Homo sapiens_hsa00071",NA,21271,150,83,43,2,0.0465116279069767,0.000631675373881081,0.185080884547157,"HADHB","ALDH9A1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Choline metabolism in cancer_Homo sapiens_hsa05231",NA,21271,150,83,100,3,0.03,0.000635766205691325,0.186279498267558,"MAP2K2","MAP2K1","CHKB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Chagas disease (American trypanosomiasis)_Homo sapiens_hsa05142",NA,21271,150,83,103,3,0.029126213592233,0.0007105252314423,0.208183892812594,"CASP8","PPP2R2A","PPP2CB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Toll-like receptor signaling pathway_Homo sapiens_hsa04620",NA,21271,150,83,105,3,0.0285714285714286,0.000763693191507994,0.223762105111842,"MAP2K2","MAP2K1","CASP8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Valine, leucine and isoleucine degradation_Homo sapiens_hsa00280",NA,21271,150,83,47,2,0.0425531914893617,0.000820699613121527,0.240464986644607,"HADHB","ALDH9A1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fatty acid metabolism_Homo sapiens_hsa01212",NA,21271,150,83,47,2,0.0425531914893617,0.000820699613121527,0.240464986644607,"HADHB","FASN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pathways in cancer_Homo sapiens_hsa05200",NA,21271,150,83,396,6,0.0151515151515152,0.000905785890679337,0.265395265969046,"TFG","MAP2K2","MAP2K1","TCEB2","TCEB1","CASP8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Huntington's disease_Homo sapiens_hsa05016",NA,21271,150,83,192,4,0.0208333333333333,0.000934271331324183,0.273741500077986,"COX7A1","TGM2","CASP8","NDUFA3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Endometrial cancer_Homo sapiens_hsa05213",NA,21271,150,83,51,2,0.0392156862745098,0.00104226718626489,0.305384285575612,"MAP2K2","MAP2K1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Glutathione metabolism_Homo sapiens_hsa00480",NA,21271,150,83,51,2,0.0392156862745098,0.00104226718626489,0.305384285575612,"GCLC","OPLAH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Thyroid hormone signaling pathway_Homo sapiens_hsa04919",NA,21271,150,83,117,3,0.0256410256410256,0.0011432592955434,0.334974973594216,"MAP2K2","MAP2K1","PFKP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Legionellosis_Homo sapiens_hsa05134",NA,21271,150,83,54,2,0.037037037037037,0.00123101374479146,0.360687027223897,"HSPA2","CASP8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Non-small cell lung cancer_Homo sapiens_hsa05223",NA,21271,150,83,55,2,0.0363636363636364,0.0012983895523971,0.380428138852351,"MAP2K2","MAP2K1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Oocyte meiosis_Homo sapiens_hsa04114",NA,21271,150,83,122,3,0.0245901639344262,0.00133467839320891,0.391060769210211,"MAP2K1","PPP2R5A","PPP2CB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Acute myeloid leukemia_Homo sapiens_hsa05221",NA,21271,150,83,56,2,0.0357142857142857,0.00136804419967773,0.400836950505576,"MAP2K2","MAP2K1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NOD-like receptor signaling pathway_Homo sapiens_hsa04621",NA,21271,150,83,56,2,0.0357142857142857,0.00136804419967773,0.400836950505576,"CASP8","SUGT1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Glycerolipid metabolism_Homo sapiens_hsa00561",NA,21271,150,83,58,2,0.0344827586206897,0.00151430387575162,0.443691035595225,"GK","ALDH9A1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dopaminergic synapse_Homo sapiens_hsa04728",NA,21271,150,83,128,3,0.0234375,0.00159267680330698,0.466654303368945,"PPP2R5A","PPP2R2A","PPP2CB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VEGF signaling pathway_Homo sapiens_hsa04370",NA,21271,150,83,60,2,0.0333333333333333,0.00167001626426733,0.489314765430326,"MAP2K2","MAP2K1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2-Oxocarboxylic acid metabolism_Homo sapiens_hsa01210",NA,21271,150,83,16,1,0.0625,0.00174216726882514,0.510455009765765,"GPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
