"Gene.set","URL","universe.size","goi","goi.in.universe","pathway.size","no.overlap","k.over.K","pvalue","FDR","Overlapping Genes","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83"
"Carbohydrate digestion and absorption_Homo sapiens_hsa04973",NA,21271,150,83,44,0,0,0.158188744220423,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AGE-RAGE signaling pathway in diabetic complications_Homo sapiens_hsa04933",NA,21271,150,83,100,0,0,0.324215040420149,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Amoebiasis_Homo sapiens_hsa05146",NA,21271,150,83,99,0,0,0.321555352827322,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Natural killer cell mediated cytotoxicity_Homo sapiens_hsa04650",NA,21271,150,83,134,2,0.0149253731343284,0.015573042398939,1,"MAP2K2","MAP2K1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fc gamma R-mediated phagocytosis_Homo sapiens_hsa04666",NA,21271,150,83,92,2,0.0217391304347826,0.00560461058753272,1,"CFL2","MAP2K1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Phospholipase D signaling pathway_Homo sapiens_hsa04072",NA,21271,150,83,143,2,0.013986013986014,0.0184877859711477,1,"MAP2K2","MAP2K1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ErbB signaling pathway_Homo sapiens_hsa04012",NA,21271,150,83,86,2,0.0232558139534884,0.00464443352259288,1,"MAP2K2","MAP2K1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Colorectal cancer_Homo sapiens_hsa05210",NA,21271,150,83,61,1,0.0163934426229508,0.0237242404181011,1,"MAP2K1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pancreatic cancer_Homo sapiens_hsa05212",NA,21271,150,83,65,1,0.0153846153846154,0.0266972044978738,1,"MAP2K1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Prostate cancer_Homo sapiens_hsa05215",NA,21271,150,83,88,2,0.0227272727272727,0.0049523903287482,1,"MAP2K2","MAP2K1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T cell receptor signaling pathway_Homo sapiens_hsa04660",NA,21271,150,83,103,2,0.0194174757281553,0.00765485653517365,1,"MAP2K2","MAP2K1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Neurotrophin signaling pathway_Homo sapiens_hsa04722",NA,21271,150,83,119,2,0.0168067226890756,0.0113370087372233,1,"MAP2K2","MAP2K1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MAPK signaling pathway_Homo sapiens_hsa04010",NA,21271,150,83,254,3,0.0118110236220472,0.0174943376358149,1,"MAP2K2","MAP2K1","HSPA2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ras signaling pathway_Homo sapiens_hsa04014",NA,21271,150,83,226,2,0.00884955752212389,0.0585856944623538,1,"MAP2K2","MAP2K1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rap1 signaling pathway_Homo sapiens_hsa04015",NA,21271,150,83,210,2,0.00952380952380952,0.049046325692498,1,"MAP2K2","MAP2K1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Regulation of actin cytoskeleton_Homo sapiens_hsa04810",NA,21271,150,83,213,3,0.0140845070422535,0.00970285758622903,1,"CFL2","MAP2K2","MAP2K1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Focal adhesion_Homo sapiens_hsa04510",NA,21271,150,83,201,1,0.00497512437810945,0.185048655850729,1,"MAP2K1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ECM-receptor interaction_Homo sapiens_hsa04512",NA,21271,150,83,81,0,0,0.271873568903545,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Small cell lung cancer_Homo sapiens_hsa05222",NA,21271,150,83,85,0,0,0.283215630425548,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NF-kappa B signaling pathway_Homo sapiens_hsa04064",NA,21271,150,83,92,0,0,0.302645753480507,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Osteoclast differentiation_Homo sapiens_hsa04380",NA,21271,150,83,131,1,0.00763358778625954,0.0928460754020144,1,"MAP2K1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TNF signaling pathway_Homo sapiens_hsa04668",NA,21271,150,83,109,2,0.018348623853211,0.00893656588378285,1,"MAP2K1","CASP8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cytosolic DNA-sensing pathway_Homo sapiens_hsa04623",NA,21271,150,83,63,0,0,0.218600622477618,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RIG-I-like receptor signaling pathway_Homo sapiens_hsa04622",NA,21271,150,83,69,1,0.0144927536231884,0.0298123987085825,1,"CASP8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hepatitis C_Homo sapiens_hsa05160",NA,21271,150,83,132,2,0.0151515151515152,0.0149635405534417,1,"PPP2R2A","PPP2CB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Measles_Homo sapiens_hsa05162",NA,21271,150,83,135,1,0.00740740740740741,0.0976657588031143,1,"HSPA2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Influenza A_Homo sapiens_hsa05164",NA,21271,150,83,174,3,0.0172413793103448,0.00481177453397098,1,"MAP2K2","MAP2K1","HSPA2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Herpes simplex infection_Homo sapiens_hsa05168",NA,21271,150,83,184,1,0.00543478260869565,0.161442701122107,1,"CASP8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Epstein-Barr virus infection_Homo sapiens_hsa05169",NA,21271,150,83,201,1,0.00497512437810945,0.185048655850729,1,"HSPA2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Viral carcinogenesis_Homo sapiens_hsa05203",NA,21271,150,83,204,2,0.00980392156862745,0.0456842884469357,1,"CASP8","PKM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MicroRNAs in cancer_Homo sapiens_hsa05206",NA,21271,150,83,296,2,0.00675675675675676,0.109298164294541,1,"MAP2K2","MAP2K1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dorso-ventral axis formation_Homo sapiens_hsa04320",NA,21271,150,83,26,1,0.0384615384615385,0.00460055119280391,1,"MAP2K1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TGF-beta signaling pathway_Homo sapiens_hsa04350",NA,21271,150,83,83,1,0.0120481927710843,0.041764269778972,1,"PPP2CB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Basal cell carcinoma_Homo sapiens_hsa05217",NA,21271,150,83,54,0,0,0.190538093874479,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hedgehog signaling pathway_Homo sapiens_hsa04340",NA,21271,150,83,49,0,0,0.174519960653984,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wnt signaling pathway_Homo sapiens_hsa04310",NA,21271,150,83,141,0,0,0.424828866215606,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Melanogenesis_Homo sapiens_hsa04916",NA,21271,150,83,99,2,0.0202020202020202,0.00686504117026809,1,"MAP2K2","MAP2K1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Proteoglycans in cancer_Homo sapiens_hsa05205",NA,21271,150,83,202,2,0.0099009900990099,0.044590164951855,1,"MAP2K2","MAP2K1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Signaling pathways regulating pluripotency of stem cells_Homo sapiens_hsa04550",NA,21271,150,83,141,2,0.0141843971631206,0.0178156739359607,1,"MAP2K2","MAP2K1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HTLV-I infection_Homo sapiens_hsa05166",NA,21271,150,83,257,0,0,0.636104959479235,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Progesterone-mediated oocyte maturation_Homo sapiens_hsa04914",NA,21271,150,83,97,1,0.0103092783505155,0.0551943781785729,1,"MAP2K1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cell cycle_Homo sapiens_hsa04110",NA,21271,150,83,123,0,0,0.382622841333719,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"p53 signaling pathway_Homo sapiens_hsa04115",NA,21271,150,83,68,1,0.0147058823529412,0.0290205424779362,1,"CASP8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Axon guidance_Homo sapiens_hsa04360",NA,21271,150,83,126,1,0.00793650793650794,0.0869247742470521,1,"CFL2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bacterial invasion of epithelial cells_Homo sapiens_hsa05100",NA,21271,150,83,77,1,0.012987012987013,0.0364495282955726,1,"CD2AP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Shigellosis_Homo sapiens_hsa05131",NA,21271,150,83,64,0,0,0.221658720758189,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Salmonella infection_Homo sapiens_hsa05132",NA,21271,150,83,85,0,0,0.283215630425548,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pathogenic Escherichia coli infection_Homo sapiens_hsa05130",NA,21271,150,83,54,1,0.0185185185185185,0.0188793163370009,1,"TUBA4A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Leukocyte transendothelial migration_Homo sapiens_hsa04670",NA,21271,150,83,117,0,0,0.367885302400506,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tight junction_Homo sapiens_hsa04530",NA,21271,150,83,138,2,0.0144927536231884,0.0168336696150263,1,"PPP2R2A","PPP2CB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Adherens junction_Homo sapiens_hsa04520",NA,21271,150,83,73,0,0,0.248654883082669,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Arrhythmogenic right ventricular cardiomyopathy (ARVC)_Homo sapiens_hsa05412",NA,21271,150,83,73,0,0,0.248654883082669,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hypertrophic cardiomyopathy (HCM)_Homo sapiens_hsa05410",NA,21271,150,83,82,0,0,0.274725597869142,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dilated cardiomyopathy_Homo sapiens_hsa05414",NA,21271,150,83,89,0,0,0.294383111912854,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cardiac muscle contraction_Homo sapiens_hsa04260",NA,21271,150,83,77,1,0.012987012987013,0.0364495282955726,1,"COX7A1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Parkinson's disease_Homo sapiens_hsa05012",NA,21271,150,83,141,2,0.0141843971631206,0.0178156739359607,1,"COX7A1","NDUFA3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Amyotrophic lateral sclerosis (ALS)_Homo sapiens_hsa05014",NA,21271,150,83,50,0,0,0.177748442572075,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nicotine addiction_Homo sapiens_hsa05033",NA,21271,150,83,39,0,0,0.141538401255218,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Neuroactive ligand-receptor interaction_Homo sapiens_hsa04080",NA,21271,150,83,276,0,0,0.662475066572143,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Taste transduction_Homo sapiens_hsa04742",NA,21271,150,83,82,0,0,0.274725597869142,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Olfactory transduction_Homo sapiens_hsa04740",NA,21271,150,83,414,0,0,0.804959978036529,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Phototransduction_Homo sapiens_hsa04744",NA,21271,150,83,26,0,0,0.0967094663562161,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Circadian rhythm_Homo sapiens_hsa04710",NA,21271,150,83,29,0,0,0.107255584367217,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Glycerophospholipid metabolism_Homo sapiens_hsa00564",NA,21271,150,83,94,2,0.0212765957446809,0.00594912599049448,1,"CHKB","PHOSPHO1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ether lipid metabolism_Homo sapiens_hsa00565",NA,21271,150,83,44,0,0,0.158188744220423,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"alpha-Linolenic acid metabolism_Homo sapiens_hsa00592",NA,21271,150,83,24,0,0,0.0896104391763892,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Linoleic acid metabolism_Homo sapiens_hsa00591",NA,21271,150,83,28,0,0,0.103753798615916,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Arachidonic acid metabolism_Homo sapiens_hsa00590",NA,21271,150,83,61,1,0.0163934426229508,0.0237242404181011,1,"CBR1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fat digestion and absorption_Homo sapiens_hsa04975",NA,21271,150,83,40,0,0,0.144894293902911,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Vitamin digestion and absorption_Homo sapiens_hsa04977",NA,21271,150,83,23,0,0,0.0860402840359041,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notch signaling pathway_Homo sapiens_hsa04330",NA,21271,150,83,47,0,0,0.168025379936811,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Maturity onset diabetes of the young_Homo sapiens_hsa04950",NA,21271,150,83,25,0,0,0.0931668157730077,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Basal transcription factors_Homo sapiens_hsa03022",NA,21271,150,83,44,0,0,0.158188744220423,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nucleotide excision repair_Homo sapiens_hsa03420",NA,21271,150,83,46,0,0,0.16475918499474,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mismatch repair_Homo sapiens_hsa03430",NA,21271,150,83,22,0,0,0.0824562976225518,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DNA replication_Homo sapiens_hsa03030",NA,21271,150,83,35,0,0,0.127984221191745,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Base excision repair_Homo sapiens_hsa03410",NA,21271,150,83,32,0,0,0.117680040447955,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Homologous recombination_Homo sapiens_hsa03440",NA,21271,150,83,28,0,0,0.103753798615916,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fanconi anemia pathway_Homo sapiens_hsa03460",NA,21271,150,83,52,0,0,0.184168028527114,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RNA polymerase_Homo sapiens_hsa03020",NA,21271,150,83,31,0,0,0.114218653831572,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pyrimidine metabolism_Homo sapiens_hsa00240",NA,21271,150,83,104,0,0,0.33475116857606,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nicotinate and nicotinamide metabolism_Homo sapiens_hsa00760",NA,21271,150,83,28,1,0.0357142857142857,0.00532384861276775,1,"NUDT12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Non-homologous end-joining_Homo sapiens_hsa03450",NA,21271,150,83,12,0,0,0.0458439696483458,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Primary immunodeficiency_Homo sapiens_hsa05340",NA,21271,150,83,36,0,0,0.131392457660057,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABC transporters_Homo sapiens_hsa02010",NA,21271,150,83,43,0,0,0.154884401149735,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Proteasome_Homo sapiens_hsa03050",NA,21271,150,83,43,0,0,0.154884401149735,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Vitamin B6 metabolism_Homo sapiens_hsa00750",NA,21271,150,83,5,0,0,0.0193602722575715,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mineral absorption_Homo sapiens_hsa04978",NA,21271,150,83,50,0,0,0.177748442572075,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Protein digestion and absorption_Homo sapiens_hsa04974",NA,21271,150,83,89,0,0,0.294383111912854,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Renin-angiotensin system_Homo sapiens_hsa04614",NA,21271,150,83,22,0,0,0.0824562976225518,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyanoamino acid metabolism_Homo sapiens_hsa00460",NA,21271,150,83,6,0,0,0.0231876538715388,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Taurine and hypotaurine metabolism_Homo sapiens_hsa00430",NA,21271,150,83,10,0,0,0.0383501537471527,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Chemical carcinogenesis_Homo sapiens_hsa05204",NA,21271,150,83,81,1,0.0123456790123457,0.03996178208047,1,"CBR1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Metabolism of xenobiotics by cytochrome P450_Homo sapiens_hsa00980",NA,21271,150,83,72,1,0.0138888888888889,0.0322391104772909,1,"CBR1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
