"Gene.set","URL","universe.size","goi","goi.in.universe","pathway.size","no.overlap","k.over.K","pvalue","FDR","Overlapping Genes","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67"
"regulation of blood pressure (GO:0008217)",NA,21271,74,67,132,4,0.0303030303030303,6.05094253992357e-05,0.314164936672832,"AGT","HMOX1","PPARG","ECE1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of binding (GO:0051098)",NA,21271,74,67,217,5,0.0230414746543779,6.24997433464129e-05,0.324498667454576,"GTPBP4","LEF1","HMOX1","ID1","TCF7L2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of glial cell differentiation (GO:0045687)",NA,21271,74,67,25,2,0.08,6.5372534209953e-05,0.339414197618076,"PPARG","SERPINE2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"endodermal cell differentiation (GO:0035987)",NA,21271,74,67,25,2,0.08,6.5372534209953e-05,0.339414197618076,"ITGA7","ITGB5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of oligodendrocyte differentiation (GO:0048713)",NA,21271,74,67,25,2,0.08,6.5372534209953e-05,0.339414197618076,"TCF7L2","PPARG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BMP signaling pathway (GO:0030509)",NA,21271,74,67,69,3,0.0434782608695652,6.66194585928057e-05,0.345888229013847,"ID1","LEF1","CHRDL1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"protein-DNA complex subunit organization (GO:0071824)",NA,21271,74,67,135,4,0.0296296296296296,6.73308412385303e-05,0.34958172771045,"CENPV","HIST1H1B","HIST1H1C","HIST1H1D","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of growth (GO:0045926)",NA,21271,74,67,220,5,0.0227272727272727,6.74332616420125e-05,0.350113494445329,"SERPINE2","BBC3","PPARG","AGT","TCF7L2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"protein maturation (GO:0051604)",NA,21271,74,67,221,5,0.0226244343891403,6.91451905126143e-05,0.359001829141493,"ATP6AP2","BBC3","PPARG","AGT","ECE1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of endopeptidase activity (GO:0010951)",NA,21271,74,67,221,5,0.0226244343891403,6.91451905126143e-05,0.359001829141493,"LEF1","SERPINE2","AQP1","C4B","AGT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
