"Gene.set","URL","universe.size","goi","goi.in.universe","pathway.size","no.overlap","k.over.K","pvalue","FDR","Overlapping Genes","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67"
"connective tissue development (GO:0061448)",NA,21271,74,67,43,0,0,0.12697466215382,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of developmental growth (GO:0048640)",NA,21271,74,67,45,0,0,0.132476995251067,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of skeletal muscle tissue development (GO:0048641)",NA,21271,74,67,60,2,0.0333333333333333,0.000898995557192422,1,"TCF7L2","HMGCR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of skeletal muscle tissue development (GO:0048642)",NA,21271,74,67,10,0,0,0.0310620287022758,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of skeletal muscle tissue development (GO:0048643)",NA,21271,74,67,15,1,0.0666666666666667,0.00099943229352701,1,"HMGCR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"muscle organ morphogenesis (GO:0048644)",NA,21271,74,67,7,0,0,0.0218445913808917,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"organ formation (GO:0048645)",NA,21271,74,67,16,0,0,0.0492409633194504,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"somatic recombination of immunoglobulin genes involved in immune response (GO:0002204)",NA,21271,74,67,16,0,0,0.0492409633194504,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of mitochondrial depolarization (GO:0051900)",NA,21271,74,67,14,0,0,0.0432189651842086,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"internal peptidyl-lysine acetylation (GO:0018393)",NA,21271,74,67,105,1,0.00952380952380952,0.0433583296739781,1,"LEF1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"response to host (GO:0075136)",NA,21271,74,67,12,0,0,0.0371593972504115,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"hydrogen transport (GO:0006818)",NA,21271,74,67,132,0,0,0.341455525270869,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"peptidyl-lysine acetylation (GO:0018394)",NA,21271,74,67,107,1,0.00934579439252336,0.0448548899592245,1,"LEF1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"potassium ion transport (GO:0006813)",NA,21271,74,67,150,2,0.0133333333333333,0.0118472122364797,1,"AQP1","CHP1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"phosphate ion transport (GO:0006817)",NA,21271,74,67,13,0,0,0.0401938918354918,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"response to muscle activity (GO:0014850)",NA,21271,74,67,12,1,0.0833333333333333,0.000632060648199636,1,"AGT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"myeloid cell differentiation (GO:0030099)",NA,21271,74,67,153,2,0.0130718954248366,0.0124938918825591,1,"LEF1","PPARG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pantothenate metabolic process (GO:0015939)",NA,21271,74,67,11,0,0,0.0341154525335604,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"calcium ion transport (GO:0006816)",NA,21271,74,67,214,3,0.014018691588785,0.00465535773494963,1,"BBC3","CLCA1","SLC3A2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"sodium ion transport (GO:0006814)",NA,21271,74,67,140,1,0.00714285714285714,0.0720846765240596,1,"SLC3A2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of axon extension (GO:0030517)",NA,21271,74,67,21,0,0,0.0641330930165918,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"leukocyte homeostasis (GO:0001776)",NA,21271,74,67,50,0,0,0.146083814379843,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"microglial cell activation (GO:0001774)",NA,21271,74,67,11,0,0,0.0341154525335604,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"myeloid dendritic cell activation (GO:0001773)",NA,21271,74,67,19,0,0,0.0582040186461833,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of CD4-positive, alpha-beta T cell differentiation (GO:0043370)",NA,21271,74,67,27,0,0,0.0817005764035196,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of intracellular signal transduction (GO:1902532)",NA,21271,74,67,344,5,0.0145348837209302,0.000745556777736345,1,"NLRX1","SERPINE2","CHP1","MCL1","HMGCR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ventricular system development (GO:0021591)",NA,21271,74,67,14,1,0.0714285714285714,0.000867938302172899,1,"MBOAT7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of chemokine biosynthetic process (GO:0045080)",NA,21271,74,67,9,1,0.111111111111111,0.000346872460197721,1,"HMOX1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"stem cell division (GO:0017145)",NA,21271,74,67,25,1,0.04,0.00279809424349949,1,"LEF1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"natural killer cell differentiation (GO:0001779)",NA,21271,74,67,12,0,0,0.0371593972504115,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"plasma membrane repair (GO:0001778)",NA,21271,74,67,7,0,0,0.0218445913808917,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"vasculogenesis (GO:0001570)",NA,21271,74,67,66,0,0,0.188228241974221,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ganglioside metabolic process (GO:0001573)",NA,21271,74,67,13,0,0,0.0401938918354918,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of mitochondrial membrane permeability (GO:0046902)",NA,21271,74,67,28,0,0,0.0845967382083096,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"mesonephric epithelium development (GO:0072163)",NA,21271,74,67,44,1,0.0227272727272727,0.00849030195338487,1,"CRLF1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"melanocyte differentiation (GO:0030318)",NA,21271,74,67,21,0,0,0.0641330930165918,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"acute-phase response (GO:0006953)",NA,21271,74,67,38,0,0,0.113067976492081,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"microtubule bundle formation (GO:0001578)",NA,21271,74,67,39,1,0.0256410256410256,0.00671800560472783,1,"CHP1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of protein modification process (GO:0031400)",NA,21271,74,67,406,4,0.00985221674876847,0.00906638701726014,1,"GTPBP4","CHP1","DNAJC3","HMGCR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of cellular response to stress (GO:0080135)",NA,21271,74,67,403,3,0.00744416873449132,0.038258370317791,1,"SQSTM1","MCL1","HMGCR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of multi-organism process (GO:0043900)",NA,21271,74,67,305,2,0.00655737704918033,0.0715921894652191,1,"LEF1","NLRX1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"hemopoiesis (GO:0030097)",NA,21271,74,67,94,0,0,0.2571063474899,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"associative learning (GO:0008306)",NA,21271,74,67,64,1,0.015625,0.0173784935600396,1,"HMGCR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cellular respiration (GO:0045333)",NA,21271,74,67,37,1,0.027027027027027,0.00606252919289596,1,"UQCRB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"protein polymerization (GO:0051258)",NA,21271,74,67,63,0,0,0.180485394290822,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"phospholipid translocation (GO:0045332)",NA,21271,74,67,17,0,0,0.0522379454628329,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"virion attachment to host cell (GO:0019062)",NA,21271,74,67,7,1,0.142857142857143,0.000203168291809101,1,"CD81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of vasculogenesis (GO:2001212)",NA,21271,74,67,13,0,0,0.0401938918354918,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"mammary gland epithelial cell proliferation (GO:0033598)",NA,21271,74,67,14,0,0,0.0432189651842086,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ATP metabolic process (GO:0046034)",NA,21271,74,67,376,3,0.00797872340425532,0.030819348239297,1,"TOR1B","UQCRB","ABCD2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"inflammatory response (GO:0006954)",NA,21271,74,67,375,2,0.00533333333333333,0.114603146915203,1,"C4B","SIGLEC1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"phosphatidic acid biosynthetic process (GO:0006654)",NA,21271,74,67,30,0,0,0.0903620950460976,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of cAMP-dependent protein kinase activity (GO:2000479)",NA,21271,74,67,10,0,0,0.0310620287022758,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"virion assembly (GO:0019068)",NA,21271,74,67,17,0,0,0.0522379454628329,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation by organism of defense response of other organism involved in symbiotic interaction (GO:0052510)",NA,21271,74,67,7,0,0,0.0218445913808917,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cellular response to nerve growth factor stimulus (GO:1990090)",NA,21271,74,67,12,0,0,0.0371593972504115,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of T cell differentiation (GO:0045580)",NA,21271,74,67,96,0,0,0.261799770421041,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of T cell differentiation (GO:0045581)",NA,21271,74,67,25,0,0,0.0758811479360018,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of T cell differentiation (GO:0045582)",NA,21271,74,67,62,0,0,0.177888313665408,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)",NA,21271,74,67,116,0,0,0.307156528379297,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of gamma-delta T cell differentiation (GO:0045586)",NA,21271,74,67,9,0,0,0.0279990966863781,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of regulatory T cell differentiation (GO:0045589)",NA,21271,74,67,9,0,0,0.0279990966863781,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"embryonic epithelial tube formation (GO:0001838)",NA,21271,74,67,25,0,0,0.0758811479360018,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"epidermis development (GO:0008544)",NA,21271,74,67,119,0,0,0.31371892450322,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fibroblast growth factor receptor signaling pathway (GO:0008543)",NA,21271,74,67,162,0,0,0.401317954221675,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ephrin receptor signaling pathway (GO:0048013)",NA,21271,74,67,33,0,0,0.0989431251399334,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"glycerophospholipid metabolic process (GO:0006650)",NA,21271,74,67,228,2,0.0087719298245614,0.0352657359317249,1,"CD81","MBOAT7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of MHC class I biosynthetic process (GO:0045343)",NA,21271,74,67,21,0,0,0.0641330930165918,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JNK cascade (GO:0007254)",NA,21271,74,67,54,0,0,0.156817711914673,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"striated muscle adaptation (GO:0014888)",NA,21271,74,67,22,0,0,0.0670838263233159,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of MHC class II biosynthetic process (GO:0045346)",NA,21271,74,67,10,0,0,0.0310620287022758,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of guanylate cyclase activity (GO:0031282)",NA,21271,74,67,11,0,0,0.0341154525335604,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"activation of NF-kappaB-inducing kinase activity (GO:0007250)",NA,21271,74,67,18,1,0.0555555555555556,0.00144745990162875,1,"AGT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"'de novo' posttranslational protein folding (GO:0051084)",NA,21271,74,67,48,2,0.0416666666666667,0.000466798636926386,1,"TOR1B","TOR2A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"monocarboxylic acid catabolic process (GO:0072329)",NA,21271,74,67,81,1,0.0123456790123457,0.0269927103317582,1,"ABCD2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cardiac muscle adaptation (GO:0014887)",NA,21271,74,67,12,0,0,0.0371593972504115,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"nuclear envelope disassembly (GO:0051081)",NA,21271,74,67,38,0,0,0.113067976492081,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JAK-STAT cascade (GO:0007259)",NA,21271,74,67,43,0,0,0.12697466215382,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"carbohydrate phosphorylation (GO:0046835)",NA,21271,74,67,23,0,0,0.0700253945682372,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"lipid phosphorylation (GO:0046834)",NA,21271,74,67,38,0,0,0.113067976492081,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of gonadotropin secretion (GO:0032276)",NA,21271,74,67,8,0,0,0.0249266273279135,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of neuron differentiation (GO:0045666)",NA,21271,74,67,216,0,0,0.495864158099258,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of RNA export from nucleus (GO:0046831)",NA,21271,74,67,9,0,0,0.0279990966863781,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of protein polymerization (GO:0032271)",NA,21271,74,67,126,0,0,0.328794006842981,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of protein polymerization (GO:0032272)",NA,21271,74,67,49,0,0,0.143379376448548,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of protein polymerization (GO:0032273)",NA,21271,74,67,68,0,0,0.193350058724123,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"phospholipid dephosphorylation (GO:0046839)",NA,21271,74,67,21,0,0,0.0641330930165918,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"phosphorylated carbohydrate dephosphorylation (GO:0046838)",NA,21271,74,67,9,0,0,0.0279990966863781,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"nonribosomal peptide biosynthetic process (GO:0019184)",NA,21271,74,67,16,0,0,0.0492409633194504,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"termination of G-protein coupled receptor signaling pathway (GO:0038032)",NA,21271,74,67,38,0,0,0.113067976492081,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cobalamin metabolic process (GO:0009235)",NA,21271,74,67,19,0,0,0.0582040186461833,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"signal transduction in absence of ligand (GO:0038034)",NA,21271,74,67,35,1,0.0285714285714286,0.00543819575718597,1,"MCL1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of myoblast differentiation (GO:0045663)",NA,21271,74,67,10,0,0,0.0310620287022758,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"multicellular organism reproduction (GO:0032504)",NA,21271,74,67,22,0,0,0.0670838263233159,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pigmentation (GO:0043473)",NA,21271,74,67,36,2,0.0555555555555556,0.00019797261774314,1,"ATP6AP2","LEF1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DNA duplex unwinding (GO:0032508)",NA,21271,74,67,54,0,0,0.156817711914673,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cellular response to glucose stimulus (GO:0071333)",NA,21271,74,67,37,0,0,0.110260566581606,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"response to vitamin D (GO:0033280)",NA,21271,74,67,20,0,0,0.0611731665264154,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cellular response to fluid shear stress (GO:0071498)",NA,21271,74,67,11,0,0,0.0341154525335604,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"leukocyte aggregation (GO:0070486)",NA,21271,74,67,8,0,0,0.0249266273279135,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"phosphatidylserine metabolic process (GO:0006658)",NA,21271,74,67,26,0,0,0.0787953888796283,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of stress-activated MAPK cascade (GO:0032872)",NA,21271,74,67,169,1,0.00591715976331361,0.0993370817147758,1,"HMGCR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of stress-activated MAPK cascade (GO:0032873)",NA,21271,74,67,35,0,0,0.104619460096944,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cellular response to hormone stimulus (GO:0032870)",NA,21271,74,67,461,3,0.00650759219088937,0.0574495112372301,1,"LEF1","PPARG","AQP1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"binding of sperm to zona pellucida (GO:0007339)",NA,21271,74,67,35,0,0,0.104619460096944,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"single fertilization (GO:0007338)",NA,21271,74,67,59,0,0,0.170048329734801,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of stress-activated MAPK cascade (GO:0032874)",NA,21271,74,67,117,1,0.00854700854700855,0.0526172014383326,1,"HMGCR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of DNA endoreduplication (GO:0032875)",NA,21271,74,67,7,0,0,0.0218445913808917,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DNA catabolic process, exonucleolytic (GO:0000738)",NA,21271,74,67,22,0,0,0.0670838263233159,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of establishment or maintenance of cell polarity (GO:0032878)",NA,21271,74,67,17,0,0,0.0522379454628329,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"intracellular protein transmembrane import (GO:0044743)",NA,21271,74,67,25,1,0.04,0.00279809424349949,1,"TIMM22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RNA phosphodiester bond hydrolysis, endonucleolytic (GO:0090502)",NA,21271,74,67,55,0,0,0.159480350991908,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
