"Gene.set","URL","universe.size","goi","goi.in.universe","pathway.size","no.overlap","k.over.K","pvalue","FDR","Overlapping Genes","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38"
"PHOSPHOLIPID_BIOSYNTHETIC_PROCESS","http://www.broadinstitute.org/gsea/msigdb/cards/PHOSPHOLIPID_BIOSYNTHETIC_PROCESS",33727,74,38,39,2,0.0512820512820513,1.17252923613968e-05,0.0096733661981524,"PIGS","CD81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOPOLYMER_METABOLIC_PROCESS","http://www.broadinstitute.org/gsea/msigdb/cards/BIOPOLYMER_METABOLIC_PROCESS",33727,74,38,1684,9,0.00534441805225653,1.2263628756108e-05,0.0101174937237891,"CD81","SQSTM1","PIGS","DAPK3","CPSF3L","GTPBP4","PPARG","TCF7","TCF7L2","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CARBOXYLIC_ACID_TRANSPORT","http://www.broadinstitute.org/gsea/msigdb/cards/CARBOXYLIC_ACID_TRANSPORT",33727,74,38,41,2,0.0487804878048781,1.36554670096263e-05,0.0112657602829417,"SLC1A3","SLC3A2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ORGANIC_ACID_TRANSPORT","http://www.broadinstitute.org/gsea/msigdb/cards/ORGANIC_ACID_TRANSPORT",33727,74,38,42,2,0.0476190476190476,1.4694453203937e-05,0.012122923893248,"SLC1A3","SLC3A2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REGULATION_OF_PROTEIN_MODIFICATION_PROCESS","http://www.broadinstitute.org/gsea/msigdb/cards/REGULATION_OF_PROTEIN_MODIFICATION_PROCESS",33727,74,38,44,2,0.0454545454545455,1.69260306195252e-05,0.0139639752611083,"GTPBP4","CD81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REGULATION_OF_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER","http://www.broadinstitute.org/gsea/msigdb/cards/REGULATION_OF_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER",33727,74,38,289,4,0.013840830449827,1.77677010085979e-05,0.0146583533320933,"TCF7","PPARG","SQSTM1","TCF7L2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AMINE_METABOLIC_PROCESS","http://www.broadinstitute.org/gsea/msigdb/cards/AMINE_METABOLIC_PROCESS",33727,74,38,141,3,0.0212765957446809,1.93452133870539e-05,0.0159598010443194,"SULT1A1","CHST12","BCAT1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GLYCEROPHOSPHOLIPID_METABOLIC_PROCESS","http://www.broadinstitute.org/gsea/msigdb/cards/GLYCEROPHOSPHOLIPID_METABOLIC_PROCESS",33727,74,38,46,2,0.0434782608695652,1.9370113639552e-05,0.0159803437526304,"PIGS","CD81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEMBRANE_LIPID_BIOSYNTHETIC_PROCESS","http://www.broadinstitute.org/gsea/msigdb/cards/MEMBRANE_LIPID_BIOSYNTHETIC_PROCESS",33727,74,38,49,2,0.0408163265306122,2.34547638965039e-05,0.0193501802146157,"PIGS","CD81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RESPONSE_TO_CHEMICAL_STIMULUS","http://www.broadinstitute.org/gsea/msigdb/cards/RESPONSE_TO_CHEMICAL_STIMULUS",33727,74,38,314,4,0.0127388535031847,2.64324743625055e-05,0.021806791349067,"PPARG","SRXN1","UGT1A6","TOR1B","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
