"Gene.set","URL","universe.size","goi","goi.in.universe","pathway.size","no.overlap","k.over.K","pvalue","FDR","Overlapping Genes","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","X101","X102","X103","X104","X105","X106","X107","X108","X109","X110","X111","X112","X113","X114","X115","X116","X117","X118","X119","X120","X121","X122","X123","X124","X125","X126","X127","X128","X129","X130","X131","X132","X133","X134","X135","X136"
"MORF_MAP2K2","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_MAP2K2",4880,518,136,131,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_MAP3K14","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_MAP3K14",4880,518,136,121,9,0.0743801652892562,0.00625686858419374,1,"FSTL4","VIPR2","RASGRF1","CHRNA1","ATRNL1","MYH7","OPHN1","KCNH1","HIPK2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_MBD4","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_MBD4",4880,518,136,86,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_MLLT10","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_MLLT10",4880,518,136,305,16,0.0524590163934426,0.0101048030872049,1,"STAC","FRY","CAMK4","SULT4A1","CPEB3","NOS2","CALN1","CDR1","SGCD","NTNG2","BIRC5","ABCC8","GABRB2","DGCR9","LDB3","PSD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_MTA1","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_MTA1",4880,518,136,102,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_MYL3","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_MYL3",4880,518,136,71,5,0.0704225352112676,0.046945243680145,1,"NRXN1","SGCD","NTNG2","MEOX2","ABCC8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_MYST2","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_MYST2",4880,518,136,68,4,0.0588235294117647,0.120411022029239,1,"PCBP3","TUB","KIF21B","TNK2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_NME2","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_NME2",4880,518,136,154,1,0.00649350649350649,0.988007313142884,1,"CLIC1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_NOS2A","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_NOS2A",4880,518,136,291,12,0.0412371134020619,0.110205591190508,1,"STAC","CAMK4","SULT4A1","NOS2","CALN1","NTNG2","AFF2","ABCC8","GABRB2","DGCR9","PSD","ATP8A2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_NPM1","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_NPM1",4880,518,136,162,1,0.00617283950617284,0.990507252714917,1,"CLIC1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_ORC1L","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_ORC1L",4880,518,136,69,4,0.0579710144927536,0.125216348187316,1,"PCBP3","TUB","PAIP2B","TNK2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_PAPSS1","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_PAPSS1",4880,518,136,101,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_PAX7","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_PAX7",4880,518,136,269,14,0.0520446096654275,0.016888005468579,1,"STAC","CAMK4","SULT4A1","NOS2","NTNG2","AFF2","ABCC8","GABRB2","CBLN1","DGCR9","SEZ6L","PSD","SLC17A7","ATP8A2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_PDCD1","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_PDCD1",4880,518,136,73,4,0.0547945205479452,0.14522430703242,1,"STAC","CALN1","CAMK4","NTNG2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_PDPK1","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_PDPK1",4880,518,136,74,5,0.0675675675675676,0.0544192715960277,1,"PCBP3","TUB","KIF21B","CPNE6","HTR2A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_PHB","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_PHB",4880,518,136,123,1,0.00813008130081301,0.970441388770521,1,"PCBP3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_PML","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_PML",4880,518,136,145,4,0.0275862068965517,0.580343275545733,1,"TUB","NTSR2","PCBP3","SLC6A7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_PPP1CA","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_PPP1CA",4880,518,136,169,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_PPP1CC","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_PPP1CC",4880,518,136,164,1,0.00609756097560976,0.991046692858882,1,"PTTG1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_PPP2CA","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_PPP2CA",4880,518,136,127,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_PPP2R4","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_PPP2R4",4880,518,136,50,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_PPP2R5B","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_PPP2R5B",4880,518,136,175,9,0.0514285714285714,0.0543229810374553,1,"GABRB2","CAMK4","SULT4A1","CPEB3","NOS2","DGCR9","NTNG2","AFF2","ABCC8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_PPP2R5E","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_PPP2R5E",4880,518,136,82,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_PPP5C","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_PPP5C",4880,518,136,90,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_PPP6C","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_PPP6C",4880,518,136,103,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
