"Gene.set","URL","universe.size","goi","goi.in.universe","pathway.size","no.overlap","k.over.K","pvalue","FDR","Overlapping Genes","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","X101","X102","X103","X104","X105","X106","X107","X108","X109","X110","X111","X112","X113","X114","X115","X116","X117","X118","X119","X120","X121","X122","X123","X124","X125","X126","X127","X128","X129","X130","X131","X132","X133","X134","X135","X136"
"MORF_TTN","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_TTN",4880,518,136,51,1,0.0196078431372549,0.765203323190498,1,"NTNG2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_UBE2A","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_UBE2A",4880,518,136,49,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_UBE2I","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_UBE2I",4880,518,136,238,1,0.00420168067226891,0.998990507453907,1,"CLIC1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_UBE2N","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_UBE2N",4880,518,136,94,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_USP5","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_USP5",4880,518,136,50,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_ZNF10","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_ZNF10",4880,518,136,54,3,0.0555555555555556,0.189853622561914,1,"ATRNL1","OPHN1","RFPL1-AS1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCM_ATM","http://www.broadinstitute.org/gsea/msigdb/cards/GCM_ATM",4880,518,136,27,1,0.037037037037037,0.534765007049945,1,"NEFL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCM_BNIP1","http://www.broadinstitute.org/gsea/msigdb/cards/GCM_BNIP1",4880,518,136,78,1,0.0128205128205128,0.891658670208533,1,"MYH7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCM_BAG5","http://www.broadinstitute.org/gsea/msigdb/cards/GCM_BAG5",4880,518,136,38,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCM_BCL2L1","http://www.broadinstitute.org/gsea/msigdb/cards/GCM_BCL2L1",4880,518,136,35,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCM_BECN1","http://www.broadinstitute.org/gsea/msigdb/cards/GCM_BECN1",4880,518,136,68,2,0.0294117647058824,0.570214817103822,1,"NEFL","FCGR2B","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCM_ERBB2IP","http://www.broadinstitute.org/gsea/msigdb/cards/GCM_ERBB2IP",4880,518,136,64,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCM_GSTA4","http://www.broadinstitute.org/gsea/msigdb/cards/GCM_GSTA4",4880,518,136,67,3,0.0447761194029851,0.286599646058793,1,"FAM123A","ERBB4","SLC8A2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCM_HDAC1","http://www.broadinstitute.org/gsea/msigdb/cards/GCM_HDAC1",4880,518,136,38,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCM_PSME1","http://www.broadinstitute.org/gsea/msigdb/cards/GCM_PSME1",4880,518,136,85,1,0.0117647058823529,0.911407531082121,1,"CLIC1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCM_RAD21","http://www.broadinstitute.org/gsea/msigdb/cards/GCM_RAD21",4880,518,136,37,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCM_SIRT2","http://www.broadinstitute.org/gsea/msigdb/cards/GCM_SIRT2",4880,518,136,43,3,0.0697674418604651,0.116871674902884,1,"MRVI1","GABBR1","TNK2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCM_TINF2","http://www.broadinstitute.org/gsea/msigdb/cards/GCM_TINF2",4880,518,136,40,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCM_ACTG1","http://www.broadinstitute.org/gsea/msigdb/cards/GCM_ACTG1",4880,518,136,124,1,0.00806451612903226,0.971286453123518,1,"CLIC1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCM_AIP","http://www.broadinstitute.org/gsea/msigdb/cards/GCM_AIP",4880,518,136,40,1,0.025,0.67863884975129,1,"NEFL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCM_ANP32B","http://www.broadinstitute.org/gsea/msigdb/cards/GCM_ANP32B",4880,518,136,36,1,0.0277777777777778,0.639853132769088,1,"CLIC1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCM_APEX1","http://www.broadinstitute.org/gsea/msigdb/cards/GCM_APEX1",4880,518,136,114,1,0.0087719298245614,0.961634759636216,1,"CLIC1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCM_AQP4","http://www.broadinstitute.org/gsea/msigdb/cards/GCM_AQP4",4880,518,136,45,3,0.0666666666666667,0.129241907208183,1,"DAAM2","HIPK2","TMOD2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCM_BMPR2","http://www.broadinstitute.org/gsea/msigdb/cards/GCM_BMPR2",4880,518,136,84,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCM_CALM1","http://www.broadinstitute.org/gsea/msigdb/cards/GCM_CALM1",4880,518,136,109,2,0.018348623853211,0.813893111207861,1,"DUSP26","SLC8A2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCM_CASP2","http://www.broadinstitute.org/gsea/msigdb/cards/GCM_CASP2",4880,518,136,27,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCM_CBFB","http://www.broadinstitute.org/gsea/msigdb/cards/GCM_CBFB",4880,518,136,70,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCM_CDH5","http://www.broadinstitute.org/gsea/msigdb/cards/GCM_CDH5",4880,518,136,35,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCM_CHUK","http://www.broadinstitute.org/gsea/msigdb/cards/GCM_CHUK",4880,518,136,72,1,0.0138888888888889,0.871292639890945,1,"MTMR7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCM_CRKL","http://www.broadinstitute.org/gsea/msigdb/cards/GCM_CRKL",4880,518,136,64,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCM_CSNK1A1","http://www.broadinstitute.org/gsea/msigdb/cards/GCM_CSNK1A1",4880,518,136,36,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCM_CSNK1D","http://www.broadinstitute.org/gsea/msigdb/cards/GCM_CSNK1D",4880,518,136,32,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCM_CSNK2B","http://www.broadinstitute.org/gsea/msigdb/cards/GCM_CSNK2B",4880,518,136,99,1,0.0101010101010101,0.940814797517839,1,"CLIC1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCM_DDX11","http://www.broadinstitute.org/gsea/msigdb/cards/GCM_DDX11",4880,518,136,44,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCM_DDX5","http://www.broadinstitute.org/gsea/msigdb/cards/GCM_DDX5",4880,518,136,65,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCM_DEAF1","http://www.broadinstitute.org/gsea/msigdb/cards/GCM_DEAF1",4880,518,136,28,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCM_DENR","http://www.broadinstitute.org/gsea/msigdb/cards/GCM_DENR",4880,518,136,49,1,0.0204081632653061,0.751402113428278,1,"MTMR7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCM_DFFA","http://www.broadinstitute.org/gsea/msigdb/cards/GCM_DFFA",4880,518,136,129,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCM_DLG1","http://www.broadinstitute.org/gsea/msigdb/cards/GCM_DLG1",4880,518,136,78,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCM_DPF2","http://www.broadinstitute.org/gsea/msigdb/cards/GCM_DPF2",4880,518,136,32,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCM_ERCC4","http://www.broadinstitute.org/gsea/msigdb/cards/GCM_ERCC4",4880,518,136,29,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCM_FANCC","http://www.broadinstitute.org/gsea/msigdb/cards/GCM_FANCC",4880,518,136,124,5,0.0403225806451613,0.263342336357001,1,"MYH7","PRKCG","PSD","NEFL","FCGR2B","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCM_FANCL","http://www.broadinstitute.org/gsea/msigdb/cards/GCM_FANCL",4880,518,136,24,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCM_FCGR2B","http://www.broadinstitute.org/gsea/msigdb/cards/GCM_FCGR2B",4880,518,136,38,2,0.0526315789473684,0.28626894061193,1,"NEFL","FCGR2B","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCM_GSPT1","http://www.broadinstitute.org/gsea/msigdb/cards/GCM_GSPT1",4880,518,136,167,1,0.00598802395209581,0.991799311394174,1,"MTMR7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCM_HBP1","http://www.broadinstitute.org/gsea/msigdb/cards/GCM_HBP1",4880,518,136,69,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCM_HMGA2","http://www.broadinstitute.org/gsea/msigdb/cards/GCM_HMGA2",4880,518,136,122,8,0.0655737704918033,0.0198436531203963,1,"L1CAM","GRIN2C","TUB","MYH7","MMP19","PRKCG","NEFL","FCGR2B","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCM_IL6ST","http://www.broadinstitute.org/gsea/msigdb/cards/GCM_IL6ST",4880,518,136,54,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCM_ING1","http://www.broadinstitute.org/gsea/msigdb/cards/GCM_ING1",4880,518,136,66,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCM_LTK","http://www.broadinstitute.org/gsea/msigdb/cards/GCM_LTK",4880,518,136,46,1,0.0217391304347826,0.72917662985848,1,"NEFL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCM_MAP1B","http://www.broadinstitute.org/gsea/msigdb/cards/GCM_MAP1B",4880,518,136,65,4,0.0615384615384615,0.106496899681734,1,"GABBR2","FAM123A","PHYHIPL","DUSP26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCM_MAP4K4","http://www.broadinstitute.org/gsea/msigdb/cards/GCM_MAP4K4",4880,518,136,171,2,0.0116959064327485,0.955620253074568,1,"TMOD2","HIPK2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCM_MAX","http://www.broadinstitute.org/gsea/msigdb/cards/GCM_MAX",4880,518,136,30,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCM_MLL","http://www.broadinstitute.org/gsea/msigdb/cards/GCM_MLL",4880,518,136,173,1,0.00578034682080925,0.993121241637761,1,"MTMR7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCM_MSN","http://www.broadinstitute.org/gsea/msigdb/cards/GCM_MSN",4880,518,136,28,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCM_MYCL1","http://www.broadinstitute.org/gsea/msigdb/cards/GCM_MYCL1",4880,518,136,25,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCM_MYST2","http://www.broadinstitute.org/gsea/msigdb/cards/GCM_MYST2",4880,518,136,173,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCM_NCAM1","http://www.broadinstitute.org/gsea/msigdb/cards/GCM_NCAM1",4880,518,136,128,4,0.03125,0.481062772889536,1,"FAM123A","ERBB4","PHYHIPL","GABBR2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCM_NF2","http://www.broadinstitute.org/gsea/msigdb/cards/GCM_NF2",4880,518,136,301,2,0.00664451827242525,0.998436675165447,1,"MTMR7","MRVI1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCM_NPM1","http://www.broadinstitute.org/gsea/msigdb/cards/GCM_NPM1",4880,518,136,116,1,0.00862068965517241,0.963793282599793,1,"CLIC1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCM_NUMA1","http://www.broadinstitute.org/gsea/msigdb/cards/GCM_NUMA1",4880,518,136,56,1,0.0178571428571429,0.796468041803188,1,"MTMR7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCM_PFN1","http://www.broadinstitute.org/gsea/msigdb/cards/GCM_PFN1",4880,518,136,51,1,0.0196078431372549,0.765203323190498,1,"CLIC1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCM_PPM1D","http://www.broadinstitute.org/gsea/msigdb/cards/GCM_PPM1D",4880,518,136,26,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCM_PPP1CC","http://www.broadinstitute.org/gsea/msigdb/cards/GCM_PPP1CC",4880,518,136,56,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
