"Gene.set","URL","universe.size","goi","goi.in.universe","pathway.size","no.overlap","k.over.K","pvalue","FDR","Overlapping Genes","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46"
"BIOCARTA_TH1TH2_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_TH1TH2_PATHWAY",1279,518,46,19,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_41BB_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_41BB_PATHWAY",1279,518,46,17,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_KREB_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_KREB_PATHWAY",1279,518,46,8,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_CTLA4_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_CTLA4_PATHWAY",1279,518,46,21,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_LONGEVITY_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_LONGEVITY_PATHWAY",1279,518,46,15,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_SARS_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_SARS_PATHWAY",1279,518,46,10,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_PAR1_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_PAR1_PATHWAY",1279,518,46,37,2,0.0540540540540541,0.387686692573071,1,"PLCB1","PRKCB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_STRESS_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_STRESS_PATHWAY",1279,518,46,25,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_TNFR1_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_TNFR1_PATHWAY",1279,518,46,29,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_TNFR2_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_TNFR2_PATHWAY",1279,518,46,18,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_TOLL_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_TOLL_PATHWAY",1279,518,46,37,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_TPO_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_TPO_PATHWAY",1279,518,46,24,1,0.0416666666666667,0.588205870499495,1,"PRKCB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_CREB_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_CREB_PATHWAY",1279,518,46,27,2,0.0740740740740741,0.253087310187778,1,"PRKCB","CAMK2A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_CARM1_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_CARM1_PATHWAY",1279,518,46,13,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_TFF_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_TFF_PATHWAY",1279,518,46,21,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_TRKA_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_TRKA_PATHWAY",1279,518,46,12,1,0.0833333333333333,0.356913850545911,1,"PRKCB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_ARF_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_ARF_PATHWAY",1279,518,46,17,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_UCALPAIN_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_UCALPAIN_PATHWAY",1279,518,46,18,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_VEGF_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_VEGF_PATHWAY",1279,518,46,29,2,0.0689655172413793,0.280324541574659,1,"PRKCB","VEGFA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_VITCB_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_VITCB_PATHWAY",1279,518,46,11,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_WNT_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_WNT_PATHWAY",1279,518,46,26,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_ACTINY_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_ACTINY_PATHWAY",1279,518,46,20,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
