"Gene.set","URL","universe.size","goi","goi.in.universe","pathway.size","no.overlap","k.over.K","pvalue","FDR","Overlapping Genes","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46"
"BIOCARTA_PYK2_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_PYK2_PATHWAY",1279,518,46,31,1,0.032258064516129,0.683130307770259,1,"PRKCB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_EGFR_SMRTE_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_EGFR_SMRTE_PATHWAY",1279,518,46,11,1,0.0909090909090909,0.332706024952713,1,"ZBTB16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_MAPK_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_MAPK_PATHWAY",1279,518,46,87,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_MCALPAIN_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_MCALPAIN_PATHWAY",1279,518,46,25,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_PPARA_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_PPARA_PATHWAY",1279,518,46,58,2,0.0344827586206897,0.628344482866368,1,"PRKCB","NOS2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_ETS_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_ETS_PATHWAY",1279,518,46,18,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_MONOCYTE_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_MONOCYTE_PATHWAY",1279,518,46,11,1,0.0909090909090909,0.332706024952713,1,"SELL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_MTOR_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_MTOR_PATHWAY",1279,518,46,23,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_IGF1R_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_IGF1R_PATHWAY",1279,518,46,23,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_PITX2_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_PITX2_PATHWAY",1279,518,46,15,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_NGF_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_NGF_PATHWAY",1279,518,46,18,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_VIP_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_VIP_PATHWAY",1279,518,46,29,1,0.0344827586206897,0.658444691846185,1,"VIPR2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_NFAT_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_NFAT_PATHWAY",1279,518,46,56,2,0.0357142857142857,0.608774293843525,1,"CAMK4","LIF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_NTHI_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_NTHI_PATHWAY",1279,518,46,24,1,0.0416666666666667,0.588205870499495,1,"IL8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_NFKB_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_NFKB_PATHWAY",1279,518,46,23,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_NOS1_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_NOS1_PATHWAY",1279,518,46,24,4,0.166666666666667,0.00918433617272678,1,"GRIN1","GRIN2A","GRIN2C","PRKCB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_NO2IL12_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_NO2IL12_PATHWAY",1279,518,46,17,1,0.0588235294117647,0.46563875602858,1,"NOS2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_RARRXR_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_RARRXR_PATHWAY",1279,518,46,15,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_NUCLEARRS_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_NUCLEARRS_PATHWAY",1279,518,46,15,1,0.0666666666666667,0.424497108265242,1,"ABCC3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_ARENRF2_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_ARENRF2_PATHWAY",1279,518,46,13,1,0.0769230769230769,0.380261887542666,1,"PRKCB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_P38MAPK_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_P38MAPK_PATHWAY",1279,518,46,40,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_P53_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_P53_PATHWAY",1279,518,46,16,1,0.0625,0.445441042616348,1,"CDK4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_PDGF_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_PDGF_PATHWAY",1279,518,46,32,1,0.03125,0.694809799631291,1,"PRKCB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_CCR5_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_CCR5_PATHWAY",1279,518,46,20,1,0.05,0.5220103363987,1,"PRKCB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_PTDINS_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_PTDINS_PATHWAY",1279,518,46,23,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_PLCE_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_PLCE_PATHWAY",1279,518,46,12,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_EDG1_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_EDG1_PATHWAY",1279,518,46,27,3,0.111111111111111,0.0696483497535737,1,"PLCB1","PRKCB","SPHKAP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_CDK5_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_CDK5_PATHWAY",1279,518,46,11,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
