Gene,logFC,logCPM,LR,PValue,FDR
CASC1,-0.912130466,6.332605191,16.60933791,4.59E-05,0.000698103
RNASE4,-0.912415734,4.355130377,14.68443973,0.000127091,0.001467309
LOC105376740,-0.912989808,-0.182617546,12.40567009,0.000428032,0.003515518
CES1,-0.914095785,6.221773507,32.06864168,1.49E-08,1.34E-06
TTC25,-0.914536975,6.598100834,27.39919047,1.66E-07,9.24E-06
LOC107986547,-0.915089481,-0.008462607,15.94888362,6.51E-05,0.000908765
LRTOMT,-0.915106656,5.954875542,15.34478132,8.96E-05,0.001146383
LOC107986972,-0.91703599,-0.688907421,10.51735622,0.001182585,0.007354757
RSPH9,-0.917130952,5.969346667,13.95309719,0.000187429,0.001950097
HHLA2,-0.917134796,4.438748044,20.34683266,6.46E-06,0.000160423
CCDC17,-0.917431901,8.163093252,17.1933015,3.38E-05,0.000550304
MROH9,-0.917675861,5.346155945,11.24878288,0.000796752,0.00552168
SMIM41,-0.917708407,3.097125193,18.01791714,2.19E-05,0.00039353
OR7E47P,-0.918785547,3.112284207,18.08618168,2.11E-05,0.000383282
C9orf24,-0.918946369,6.827605752,15.14165678,9.97E-05,0.001235239
EFHC1,-0.918973626,8.121930241,16.04381194,6.19E-05,0.000876724
CFAP57,-0.9198707,6.317610596,20.60846936,5.63E-06,0.000144705
FAM81B,-0.920160484,6.579510619,22.55207927,2.05E-06,6.74E-05
FAM85B,-0.920802672,0.560698061,10.55961633,0.001155852,0.007241382
LOC105376739,-0.921810734,0.547653345,9.271678452,0.002327243,0.012151047
LOC105369421,-0.922015881,0.444901982,10.74210569,0.001047251,0.00672096
TSNAXIP1,-0.922852742,5.774214058,22.13149445,2.55E-06,7.78E-05
EPPIN-WFDC6,-0.922946747,2.287025529,12.16698137,0.00048643,0.003824126
PLEKHB1,-0.923377327,5.743482834,22.83359898,1.77E-06,6.00E-05
C9orf116,-0.925166386,6.248865326,25.8145801,3.76E-07,1.81E-05
UCN3,-0.925347057,0.853451544,12.59526675,0.000386725,0.00328369
SLC51B,-0.925547246,2.555596674,12.69125493,0.00036737,0.00317409
TUBA1A,-0.925938127,9.192184976,35.31071242,2.81E-09,3.64E-07
MLF1,-0.926753664,6.34274534,18.95174526,1.34E-05,0.000278245
