Gene,logFC,logCPM,LR,PValue,FDR,gid
DUSP5,0.928965411,3.820577639,5.734952504,0.016630518,0.052619181,DUSP5
ZMYND15,0.927510618,1.386043975,15.52508898,8.14E-05,0.001260434,ZMYND15
PKMYT1,0.926115227,0.986628542,16.58538979,4.65E-05,0.000865623,PKMYT1
LOC284454,0.923481931,1.872074808,14.47888063,0.00014174,0.001814389,LOC284454
TRIM25,0.920626053,6.456755235,20.79621095,5.11E-06,0.000231141,TRIM25
PPARGC1A,0.915465153,0.972009105,7.228971241,0.00717363,0.029159765,PPARGC1A
KCNQ1OT1,0.914509768,2.087579466,15.076079,0.000103264,0.001470119,KCNQ1OT1
PLXDC1,0.912905461,0.125422279,6.590268788,0.010253769,0.037558629,PLXDC1
PER2,0.910587452,5.169467443,12.28514518,0.000456578,0.004066397,PER2
EPHB3,0.908061002,4.944424133,17.17950778,3.40E-05,0.000700817,EPHB3
PTPRS,0.908012792,5.499306192,17.57501248,2.76E-05,0.000620381,PTPRS
CEACAM1,0.907376095,3.447441604,8.918684754,0.002822677,0.014702255,CEACAM1
DUSP1,0.905945494,6.206986272,7.332385484,0.006772311,0.027941966,DUSP1
BMS1P4-AGAP5,0.903518271,2.036714658,19.96793093,7.88E-06,0.000299634,BMS1P4-AGAP5
KIF18B,0.901949103,1.359362629,8.452416353,0.003645588,0.017710623,KIF18B
FAM171A1,0.900397068,2.73469993,16.8267682,4.10E-05,0.00079919,FAM171A1
EME2,0.899106997,1.425443218,21.3729659,3.78E-06,0.000200353,EME2
LGR6,0.895733157,2.279223993,3.84387136,0.049928114,0.118089795,LGR6
PPP4R1L,0.892671693,1.687878654,17.50292493,2.87E-05,0.000635354,PPP4R1L
ROBO2,0.892015047,0.673431514,8.714553714,0.003156797,0.015931646,ROBO2
LY6G5B,0.889886189,0.84117973,12.27083244,0.000460093,0.004086699,LY6G5B
TRANK1,0.888930355,5.6864365,20.11490243,7.29E-06,0.000286117,TRANK1
SHFL,0.888537569,4.583124786,11.24314716,0.000799175,0.00594072,SHFL
SALL4,0.888154615,1.216630475,16.51381579,4.83E-05,0.000887965,SALL4
MPP3,0.884626007,0.812678142,7.875295286,0.005011469,0.022270737,MPP3
ATP10A,0.88177536,2.329020139,7.608602118,0.00580905,0.024878282,ATP10A
LTBP4,0.881453282,6.195071558,16.73900779,4.29E-05,0.000822435,LTBP4
COL22A1,0.881391869,1.134483777,6.514908216,0.010697384,0.038641528,COL22A1
TMEM106A,0.87991913,0.612648121,11.97599499,0.000538903,0.004536595,TMEM106A
TRAF1,0.878828845,1.932327561,20.28889477,6.66E-06,0.000272372,TRAF1
PCDH19,0.873820339,1.738753511,10.17916297,0.001420366,0.00888023,PCDH19
AXL,0.872333431,3.137388779,17.44227702,2.96E-05,0.000644401,AXL
SOX6,0.866672751,1.835930196,10.5651491,0.001152397,0.007664889,SOX6
PIF1,0.866120944,0.165516239,11.13435907,0.000847432,0.006198771,PIF1
LOC102723564,0.864727918,1.816117385,12.54108163,0.000398102,0.003677151,LOC102723564
GLI1,0.863213566,0.881930632,14.2428727,0.000160668,0.001960333,GLI1
FBXO41,0.860695327,1.881773728,14.91517168,0.000112455,0.001559809,FBXO41
PPRC1,0.860655068,4.320466794,20.96301315,4.68E-06,0.000222412,PPRC1
MKI67,0.86016574,5.039260418,16.63738738,4.53E-05,0.000853314,MKI67
COL18A1,0.85970688,5.33319251,12.24934949,0.00046542,0.004108811,COL18A1
LGALS9,0.858557738,4.914638418,13.12171705,0.000291892,0.002969976,LGALS9
CLCF1,0.858098302,1.746807754,21.51686469,3.51E-06,0.00019335,CLCF1
PPARGC1B,0.858085296,4.499673665,25.86218704,3.67E-07,5.47E-05,PPARGC1B
MYBPC1,0.858006524,-0.394739366,4.196321484,0.040511767,0.101279418,MYBPC1
EIF2AK2,0.857877767,6.447436772,10.73127443,0.001053399,0.007210296,EIF2AK2
LOC729218,0.857474353,3.073021136,24.3921969,7.86E-07,8.48E-05,LOC729218
ZSWIM4,0.855104864,3.544752853,22.15474395,2.52E-06,0.000173489,ZSWIM4
NFKBIZ,0.854905993,5.540160646,15.16215553,9.87E-05,0.001431262,NFKBIZ
GTF2IP13,0.853557426,1.31415527,13.51984218,0.000236054,0.002572583,GTF2IP13
BTN2A3P,0.853198708,0.715016465,15.36806486,8.85E-05,0.001330443,BTN2A3P
USP36,0.851015095,4.610094096,22.31316957,2.32E-06,0.00016551,USP36
NACAD,0.850820539,-0.06682713,6.034430618,0.014029475,0.046626012,NACAD
SECTM1,0.849884084,4.569551871,8.496788376,0.003557739,0.01743096,SECTM1
NFAM1,0.849121587,-0.008497512,5.615807903,0.017799174,0.055252059,NFAM1
PDGFB,0.847013515,1.454872106,12.1368277,0.000494358,0.004281911,PDGFB
HLA-F,0.84654829,4.594122439,8.30439564,0.003954924,0.018750511,HLA-F
CPT1B,0.84618845,3.306941334,25.62211931,4.15E-07,5.86E-05,CPT1B
PVR,0.844703028,3.891813307,30.87594729,2.75E-08,1.48E-05,PVR
ABCC3,0.843812796,4.221212243,13.96914564,0.000185835,0.00218447,ABCC3
LOC102724814,0.84347355,2.148067674,19.30128553,1.12E-05,0.000361068,LOC102724814
BAGE2,0.843080366,0.536318862,14.08572513,0.000174664,0.002079321,BAGE2
PSORS1C3,0.840368237,0.174000908,9.254191127,0.002349571,0.012816998,PSORS1C3
CAPN10-DT,0.839345201,0.412311504,11.41373064,0.000729033,0.005559032,CAPN10-DT
MIR429,0.839312077,0.375655577,6.16059655,0.013062715,0.044369756,MIR429
GLI3,0.837384852,3.762202861,16.45825716,4.97E-05,0.000906174,GLI3
PTCH1,0.835496688,3.82916015,24.27807819,8.34E-07,8.81E-05,PTCH1
KCNQ5,0.835026981,0.697823795,6.855404697,0.008837354,0.033750136,KCNQ5
FOXN1,0.833956962,1.118350289,6.959334273,0.008338305,0.032485312,FOXN1
LOC101928451,0.833743622,3.147473342,19.90035082,8.16E-06,0.000305797,LOC101928451
MEGF6,0.831754622,4.237571516,20.31371555,6.57E-06,0.000272005,MEGF6
LOC101930307,0.830236307,1.706542255,17.90829811,2.32E-05,0.000567853,LOC101930307
