Gene,logFC,logCPM,LR,PValue,FDR,gid
TMEM92,0.602888655,1.890544688,5.945424311,0.014755539,0.048347595,TMEM92
CNP,0.602028265,5.834736693,11.36571444,0.000748123,0.005658687,CNP
ZSWIM5,0.601754942,0.942271973,5.784450578,0.016168551,0.05148102,ZSWIM5
SOCS3,0.60165292,3.323554201,4.655664521,0.03095125,0.082878679,SOCS3
SLC22A17,0.601577856,0.940532637,5.357833992,0.020629381,0.061448786,SLC22A17
NEDD9,0.600158443,4.605290513,11.71699963,0.000619317,0.004962095,NEDD9
ENGASE,0.599893635,4.337811009,14.45047537,0.000143894,0.001834289,ENGASE
ANO8,0.599111197,3.710762922,14.79260304,0.000120005,0.001629535,ANO8
MAP3K9,0.598755533,5.001623089,19.80839901,8.56E-06,0.00031009,MAP3K9
GOLGA6L17P,0.598253485,0.708882723,5.29836182,0.021345491,0.06305958,GOLGA6L17P
FHL3,0.598147283,1.73351349,6.218594345,0.012641544,0.043447217,FHL3
ZNF512B,0.598101664,5.027359734,14.56190209,0.000135629,0.001763336,ZNF512B
AFG3L1P,0.597817582,3.072767314,10.91161263,0.000955633,0.006747058,AFG3L1P
NFIX,0.596943049,4.579075026,13.31466608,0.000263338,0.002770003,NFIX
LINC00641,0.596478715,2.333026535,4.667960898,0.030730393,0.082404152,LINC00641
MEF2D,0.596237707,4.7664521,13.34914231,0.000258541,0.002740429,MEF2D
ITGB2,0.596104408,1.377725367,6.555367285,0.010456825,0.038097044,ITGB2
PPP1R13B,0.596011872,5.208364363,17.46374227,2.93E-05,0.000642056,PPP1R13B
IRF9,0.595662702,6.749435737,9.306174835,0.002283828,0.012530775,IRF9
HLA-L,0.595551218,2.338941046,6.244809552,0.012455777,0.043004461,HLA-L
SIDT1,0.595155727,4.148678375,9.238198143,0.002370181,0.012898615,SIDT1
LRP5,0.595143222,6.215950996,18.63837132,1.58E-05,0.000449389,LRP5
TNFRSF10A,0.594798576,3.100706579,11.01353789,0.000904488,0.006478093,TNFRSF10A
ARHGEF19,0.594695135,4.82078341,6.10166823,0.013505433,0.045466966,ARHGEF19
MRTFA,0.59462062,4.419000704,14.84377079,0.000116793,0.001596698,MRTFA
CDIP1,0.594203988,3.206967031,6.265133965,0.012313686,0.042699317,CDIP1
TLE4,0.593874959,5.214735706,14.72650446,0.000124287,0.001664692,TLE4
ARHGEF34P,0.593412522,1.892384267,10.94713682,0.000937484,0.006643961,ARHGEF34P
PILRB,0.593341058,4.84379043,13.34972593,0.00025846,0.002740429,PILRB
ZNF841,0.593207224,3.013583979,15.2251626,9.54E-05,0.001397897,ZNF841
FBXO46,0.592888635,3.540003861,18.41276544,1.78E-05,0.000482918,FBXO46
APOL2,0.592019171,4.707323104,10.50125983,0.001192932,0.007854941,APOL2
TNS4,0.591532233,5.647348996,7.274102178,0.006995585,0.028620887,TNS4
FNBP4,0.591508263,5.533430057,17.022929,3.69E-05,0.000739847,FNBP4
CMYA5,0.590746508,4.778754075,18.13370963,2.06E-05,0.000528094,CMYA5
MEX3B,0.590683598,1.24795936,6.501906405,0.010775889,0.038835696,MEX3B
CBSL,0.590232381,0.811037647,5.725615374,0.016719176,0.052822246,CBSL
SEMA3F,0.590167582,6.372887303,10.83496527,0.000996012,0.006942476,SEMA3F
TENM2,0.58941352,4.974418575,11.26735925,0.000788819,0.00588691,TENM2
CCDC144A,0.588894657,2.539121113,6.660693664,0.009856254,0.036489882,CCDC144A
LARGE2,0.588382433,4.4571897,8.086013505,0.004460818,0.020404347,LARGE2
LOC105377548,0.588348138,0.358651276,3.982407345,0.045977807,0.111279407,LOC105377548
MYBL2,0.587917995,1.624038344,7.895550319,0.004955656,0.022100873,MYBL2
CIITA,0.587606252,4.191667144,16.3215875,5.35E-05,0.00095323,CIITA
FLNA,0.587079644,8.121673467,6.226009792,0.01258871,0.04332478,FLNA
ZNF710,0.587030775,4.497108798,18.46722957,1.73E-05,0.000474712,ZNF710
LINC01123,0.586850976,3.078950239,16.78925407,4.18E-05,0.00080784,LINC01123
NOTCH3,0.586245254,6.843638678,12.22929683,0.000470449,0.00414456,NOTCH3
SIK3,0.586200254,5.392845661,13.16032566,0.000285939,0.002922268,SIK3
SBNO2,0.58615935,6.097945179,19.15663314,1.20E-05,0.000373495,SBNO2
EBF4,0.586099683,3.22530329,11.77082921,0.000601662,0.004882227,EBF4
ZNF862,0.586043147,4.6675366,17.84593906,2.40E-05,0.000578896,ZNF862
HDAC4,0.585213124,3.893754401,15.32442039,9.05E-05,0.001343403,HDAC4
USP31,0.585129401,5.165990659,10.42386391,0.001243974,0.008085293,USP31
SMIM26,-0.585199678,4.868845039,16.15834438,5.83E-05,0.001010376,SMIM26
OR7E37P,-0.58536518,2.058934482,8.213214685,0.004158641,0.019429716,OR7E37P
MSL3P1,-0.585496703,3.05771957,13.48375407,0.000240638,0.002610033,MSL3P1
C1QTNF5,-0.586047117,1.610768123,9.501702617,0.002052813,0.011604695,C1QTNF5
MFRP,-0.586047117,1.610768123,9.501702617,0.002052813,0.011604695,MFRP
CEPT1,-0.586107233,5.561853735,13.5901207,0.000227379,0.002518006,CEPT1
EIF2B3,-0.586234987,4.167435985,12.14564862,0.000492025,0.004271288,EIF2B3
SPCS1,-0.586322655,6.129202587,21.11765097,4.32E-06,0.000216037,SPCS1
IDNK,-0.586464748,3.76951855,17.47267513,2.91E-05,0.000642056,IDNK
ZSCAN4,-0.58740939,2.681356738,11.54602871,0.000678941,0.005305436,ZSCAN4
PRELID3B,-0.587477968,5.763838045,11.29695306,0.000776344,0.00581969,PRELID3B
TMEM238L,-0.588147018,1.802283461,4.378018536,0.036405295,0.093473056,TMEM238L
TEX30,-0.588581835,2.689335794,8.58808997,0.003383687,0.016746591,TEX30
LOC105375368,-0.588687789,4.71416149,10.6399221,0.001106723,0.007446085,LOC105375368
ZNF22,-0.588801192,4.219024909,12.73385836,0.000359095,0.003448753,ZNF22
LOC105372535,-0.588872388,4.487971029,9.004722147,0.002692829,0.014232045,LOC105372535
LOC339803,-0.588985311,3.33208083,12.72568652,0.000360667,0.003457655,LOC339803
WDR49,-0.589270053,6.428444063,10.78097988,0.001025484,0.007082731,WDR49
RPS27,-0.589427514,6.971837038,15.4381681,8.52E-05,0.001296865,RPS27
PSMC2,-0.58952258,6.275857069,14.02992608,0.000179924,0.002129902,PSMC2
ADPRM,-0.589654494,2.211987353,8.550154775,0.003454929,0.017043336,ADPRM
FKBP3,-0.589881024,5.3505703,17.43838434,2.97E-05,0.000644401,FKBP3
C11orf52,-0.589911119,5.346613831,17.65312853,2.65E-05,0.000605751,C11orf52
CALML4,-0.590038467,6.558118413,14.43541155,0.000145049,0.001842019,CALML4
SLIRP,-0.590564313,4.483111014,21.64646806,3.28E-06,0.00019267,SLIRP
HSPB2-C11orf52,-0.590820075,5.347446131,17.69778583,2.59E-05,0.000601367,HSPB2-C11orf52
FIS1,-0.590941108,6.082037114,17.66190168,2.64E-05,0.000605152,FIS1
DCAF13,-0.591082035,5.455378778,13.60478318,0.00022561,0.002507186,DCAF13
SDHAF4,-0.591397285,3.764730289,9.987112951,0.001576396,0.009558995,SDHAF4
TASP1,-0.591663243,4.27661358,15.45328161,8.46E-05,0.001291637,TASP1
SLC22A16,-0.59170237,3.758999802,10.26253464,0.00135759,0.008583676,SLC22A16
RPL22L1,-0.591912392,4.349025499,14.52650182,0.000138202,0.001785745,RPL22L1
SCP2,-0.592026618,7.129450198,16.36776952,5.22E-05,0.00093842,SCP2
PPP1R1C,-0.592100189,0.772680717,6.179073279,0.012926996,0.044027572,PPP1R1C
RPS15A,-0.59213789,7.244780359,15.51998831,8.16E-05,0.001260977,RPS15A
CCNE2,-0.592147174,1.170613117,5.950413528,0.014713834,0.048231871,CCNE2
GTF2F2,-0.592250006,4.71794075,20.14908991,7.16E-06,0.000283363,GTF2F2
VPS25,-0.592271338,6.160179817,19.2280339,1.16E-05,0.000365844,VPS25
H3-3A,-0.592356902,7.692394343,17.3770315,3.07E-05,0.000656381,H3-3A
FABP6,-0.592646697,2.989856029,9.295720736,0.002296898,0.012593335,FABP6
RPS14,-0.59278024,8.821771782,17.45809554,2.94E-05,0.000642056,RPS14
PDZD11,-0.592947851,4.828241002,17.91694968,2.31E-05,0.000566761,PDZD11
MGST3,-0.593194842,5.803525577,16.69986393,4.38E-05,0.000836105,MGST3
GPN3,-0.593495962,3.693929467,11.96600859,0.000541799,0.004548564,GPN3
TMEM116,-0.593666362,4.584611708,14.71698882,0.000124916,0.00166978,TMEM116
TSTD1,-0.593841206,5.760421146,16.69091632,4.40E-05,0.000837847,TSTD1
COX6B1,-0.594236131,6.832943481,21.36644994,3.79E-06,0.000200353,COX6B1
PLS1,-0.594347443,6.76885748,9.765188543,0.001778473,0.010456921,PLS1
ATP6V0E1,-0.594451885,6.700357377,16.81043519,4.13E-05,0.000802986,ATP6V0E1
RPL21,-0.594530332,7.014367046,18.85213568,1.41E-05,0.0004225,RPL21
KIF18A,-0.594886969,2.419693415,6.923716825,0.008506,0.032935948,KIF18A
ADGB,-0.594897912,6.303219282,10.46215594,0.00121845,0.007984679,ADGB
AAMDC,-0.595138775,3.469755693,17.38710757,3.05E-05,0.000656142,AAMDC
TCN1,-0.595199855,6.958176251,19.45011587,1.03E-05,0.000353688,TCN1
ISCA1,-0.595271979,4.505890997,19.99227094,7.78E-06,0.000297976,ISCA1
ACP1,-0.595462221,6.074200879,17.72593417,2.55E-05,0.000597466,ACP1
RAB38,-0.595570618,4.905897964,17.8128389,2.44E-05,0.000585308,RAB38
GHITM,-0.595854065,7.52713671,15.84103884,6.89E-05,0.001120817,GHITM
CNPY4,-0.595912619,2.651942385,11.76582721,0.000603281,0.004887208,CNPY4
TWISTNB,-0.596054236,4.006880323,12.22947776,0.000470404,0.00414456,TWISTNB
PET100,-0.596322431,4.079831049,15.1202174,0.000100877,0.001449809,PET100
NCF2,-0.596553295,5.748831085,17.73350064,2.54E-05,0.000596945,NCF2
LOC105369421,-0.596868615,1.276196995,4.676911174,0.030570669,0.082092438,LOC105369421
MRPL27,-0.597151288,4.95791535,18.31656035,1.87E-05,0.00050102,MRPL27
NUDT2,-0.597393773,4.448155881,17.86527889,2.37E-05,0.000573961,NUDT2
CYB5A,-0.597464468,6.779452204,12.54030779,0.000398267,0.003677151,CYB5A
SYF2,-0.598033346,5.800173493,21.32607126,3.87E-06,0.000201393,SYF2
RPL39,-0.598144437,6.552519797,19.72068016,8.96E-06,0.000317794,RPL39
ECHDC1,-0.598213672,5.886546106,16.74369789,4.28E-05,0.000822207,ECHDC1
RPL37,-0.598372561,8.294504974,17.14105264,3.47E-05,0.000712234,RPL37
UBE2N,-0.598373771,6.004575663,15.55210175,8.03E-05,0.001246005,UBE2N
SMYD3,-0.598642796,4.29074945,17.16076538,3.43E-05,0.000706802,SMYD3
RBM45,-0.598881074,3.671816354,12.00771957,0.000529806,0.004485833,RBM45
COMMD3,-0.59912573,5.350192842,14.68028609,0.000127372,0.001690639,COMMD3
ADH5,-0.599244949,6.832603437,17.34030983,3.12E-05,0.000665744,ADH5
ROMO1,-0.599266444,5.222957705,22.20193252,2.45E-06,0.000170054,ROMO1
DPM1,-0.599356774,5.259043175,13.96251134,0.000186492,0.002188153,DPM1
TFPI,-0.599453776,3.662030368,9.581801653,0.001965155,0.011265147,TFPI
DYNLL1,-0.599653558,8.591371365,21.54076631,3.46E-06,0.000193331,DYNLL1
TRMT11,-0.599819288,3.597889576,11.30751832,0.000771939,0.005798178,TRMT11
ATP5PF,-0.600195592,5.857231435,19.43835126,1.04E-05,0.000354616,ATP5PF
BOLA2B,-0.600258606,4.130239901,16.30647117,5.39E-05,0.000957178,BOLA2B
CDNF,-0.600359186,2.105370233,7.726251098,0.005442363,0.023677102,CDNF
PDHB,-0.601202855,6.454089278,17.43875445,2.97E-05,0.000644401,PDHB
C12orf76,-0.601227447,3.980162007,17.80917668,2.44E-05,0.000585505,C12orf76
ANXA2P2,-0.601443377,9.954603942,16.30369803,5.40E-05,0.000957178,ANXA2P2
LOC102724945,-0.601519344,0.847822991,5.271639666,0.021675587,0.063779793,LOC102724945
SNORA105B,-0.601623902,2.117412507,4.255210041,0.039130109,0.098641571,SNORA105B
C11orf58,-0.601707545,6.771831422,14.97077473,0.000109189,0.001523725,C11orf58
LOC107986962,-0.602064207,3.399036843,16.13860197,5.89E-05,0.001018624,LOC107986962
CKS2,-0.602289559,3.962997895,13.64547335,0.000220773,0.002472035,CKS2
CSE1L,-0.60245358,6.397333159,17.75817961,2.51E-05,0.00059387,CSE1L
B2M,-0.602509762,10.12094272,8.349477538,0.003857982,0.018447238,B2M
MYL12B,-0.602851876,8.610101117,15.8047532,7.02E-05,0.001134505,MYL12B
COA6,-0.602930433,3.841359759,13.42464118,0.000248341,0.002661971,COA6
MMADHC,-0.602948518,6.60860744,14.38213781,0.000149211,0.001867301,MMADHC
MORF4L2,-0.603489885,8.0531143,16.14153302,5.88E-05,0.001018215,MORF4L2
NUP37,-0.603598985,4.506017131,17.11196014,3.52E-05,0.000718348,NUP37
TNFAIP8,-0.603738012,5.442361395,15.15714318,9.89E-05,0.001431262,TNFAIP8
HYLS1,-0.603775678,4.073074585,11.176844,0.000828245,0.006096806,HYLS1
AKR1C2,-0.603917805,7.893859331,22.40297164,2.21E-06,0.000163777,AKR1C2
RPL27,-0.604298782,8.125072643,17.46513409,2.93E-05,0.000642056,RPL27
LOC100507336,-0.604702766,2.353251618,5.635357311,0.017601757,0.054808194,LOC100507336
PIN4,-0.605144038,3.918801638,16.69198363,4.40E-05,0.000837847,PIN4
LOC102725191,-0.605328667,2.546751093,7.361771824,0.006662511,0.027609663,LOC102725191
KRR1,-0.605362087,5.825801173,12.83463396,0.000340262,0.003311635,KRR1
ABHD10,-0.605558499,5.119823911,15.33924717,8.98E-05,0.001340203,ABHD10
SNORD141A,-0.605561439,9.48342288,17.93297814,2.29E-05,0.000565668,SNORD141A
CIR1,-0.605628222,6.116290007,17.94905227,2.27E-05,0.000565559,CIR1
HSPE1,-0.605717825,5.652690884,16.03601671,6.21E-05,0.001057161,HSPE1
TRUB1,-0.605836048,4.681287469,11.69355357,0.00062717,0.005015036,TRUB1
BNIP3,-0.606335408,3.713593759,13.3637425,0.000256536,0.002726326,BNIP3
CRIPT,-0.606469202,4.029832394,14.77353134,0.000121225,0.001642248,CRIPT
CATSPERE,-0.606494227,2.498107298,10.13908247,0.001451584,0.009015697,CATSPERE
TMEM14A,-0.606567794,4.794763335,15.90586671,6.66E-05,0.001106156,TMEM14A
FAM216B,-0.606597441,9.146607555,10.75774941,0.001038436,0.007136294,FAM216B
CCDC58,-0.606728619,3.189789312,12.73359654,0.000359145,0.003448753,CCDC58
PSMC1,-0.606938771,5.000692634,20.85892729,4.94E-06,0.000229069,PSMC1
RAD51C,-0.607160513,3.418696458,15.8208693,6.96E-05,0.001128503,RAD51C
NXT2,-0.607219812,3.920136985,8.331930598,0.003895424,0.01856749,NXT2
ASB9,-0.607562709,3.492166798,9.287077789,0.00230776,0.012643713,ASB9
ATP6V1E1,-0.60783102,6.2552784,21.53472797,3.47E-06,0.000193331,ATP6V1E1
TCEAL9,-0.608314508,4.950993198,13.3327284,0.000260814,0.002749832,TCEAL9
ATG4C,-0.608495594,3.145611661,8.974558658,0.002737647,0.014408417,ATG4C
BORCS7,-0.608640695,5.035561649,15.3389807,8.98E-05,0.001340203,BORCS7
STAT4,-0.608878167,2.328571607,6.737778649,0.009439209,0.035344385,STAT4
PNP,-0.609573698,5.341305259,19.98819786,7.79E-06,0.000297976,PNP
RMDN2,-0.609912728,2.423988225,10.2754141,0.001348146,0.00854184,RMDN2
SMYD2,-0.610038682,6.604378574,15.79792515,7.05E-05,0.00113739,SMYD2
TRAPPC2B,-0.610228653,2.892263218,15.01553338,0.00010663,0.00150387,TRAPPC2B
LINC01392,-0.610322031,1.3890932,10.05167536,0.001522095,0.009324438,LINC01392
TMEM17,-0.610526425,3.157399411,14.64171879,0.000130005,0.001712048,TMEM17
COPS8,-0.610563067,5.445294619,17.67283199,2.62E-05,0.000605,COPS8
RPL17,-0.6109103,6.395970586,16.96336798,3.81E-05,0.000757397,RPL17
C1D,-0.611647767,2.897633317,10.50559193,0.001190138,0.007843385,C1D
LOC105376652,-0.611818329,1.337126982,6.187056356,0.012868807,0.043937227,LOC105376652
NDUFA1,-0.611968023,6.065633157,15.2128043,9.60E-05,0.001403128,NDUFA1
ACADM,-0.612058823,6.113044652,12.66075228,0.000373412,0.0035318,ACADM
RTRAF,-0.612196521,6.305409805,22.36489754,2.25E-06,0.000164306,RTRAF
TDRD9,-0.61234608,0.383971465,4.861990732,0.02745464,0.075872457,TDRD9
CCBE1,-0.612401221,0.454585753,3.870461085,0.049143019,0.116715518,CCBE1
PIK3C2G,-0.612511057,0.194295239,4.520494356,0.033491153,0.088041048,PIK3C2G
SH3GL3,-0.612622525,3.144618241,15.86010266,6.82E-05,0.001119764,SH3GL3
RPS13,-0.612770264,7.997653012,17.93599126,2.28E-05,0.000565668,RPS13
GCSH,-0.612811068,1.028872266,4.092732062,0.043067973,0.105783082,GCSH
MDP1,-0.613047471,3.153263284,13.69214928,0.000215353,0.002422118,MDP1
CISD2,-0.613060174,4.363292936,16.906042,3.93E-05,0.000773493,CISD2
BCAP29,-0.61350847,4.800992075,12.87317804,0.000333325,0.003263043,BCAP29
MIR200CHG,-0.613533347,3.477944835,13.46829302,0.000242629,0.002622298,MIR200CHG
METTL5,-0.61363809,4.30981851,19.40140659,1.06E-05,0.000354616,METTL5
C12orf60,-0.61365395,2.239384197,9.401738814,0.002167798,0.012073961,C12orf60
MRPS21,-0.613744523,6.046442118,16.68851834,4.40E-05,0.000837847,MRPS21
C9orf116,-0.613916372,6.741899375,19.13861479,1.22E-05,0.000376264,C9orf116
CAPS,-0.614106172,10.62056861,13.01028174,0.000309785,0.003094054,CAPS
CD59,-0.614566389,9.701782375,16.1230428,5.94E-05,0.001025851,CD59
CGRRF1,-0.614576773,3.152060807,10.61187493,0.001123637,0.00753665,CGRRF1
TTC32,-0.614704595,2.696450041,8.785131276,0.003036957,0.015529193,TTC32
CBWD1,-0.615112988,3.250582955,14.24377627,0.000160591,0.001960333,CBWD1
DLD,-0.615118977,6.658631732,15.63152895,7.70E-05,0.00121219,DLD
HSPE1-MOB4,-0.615607152,5.734887179,14.66966677,0.000128091,0.001697208,HSPE1-MOB4
LINC02482,-0.615611241,1.523444547,6.950415128,0.008379979,0.0325885,LINC02482
LMO3,-0.61572011,3.482704304,12.49095201,0.000408928,0.003745483,LMO3
FBXO8,-0.615740298,4.852436442,14.40523328,0.000147392,0.001856846,FBXO8
RPL26,-0.616559906,8.188811889,16.51051601,4.84E-05,0.000887965,RPL26
PCMT1,-0.617066867,5.480479842,16.82209544,4.11E-05,0.000800049,PCMT1
TNFRSF11B,-0.617206662,1.324877616,8.93292521,0.002800754,0.014613262,TNFRSF11B
MRPL42,-0.617421372,5.574701106,14.11931363,0.000171573,0.002053575,MRPL42
PSMA3,-0.617771742,6.011735397,13.36284172,0.000256659,0.002726326,PSMA3
RPL36A,-0.617834303,4.003730353,15.59211527,7.86E-05,0.001227482,RPL36A
LOC105377286,-0.618064654,3.88740226,17.83010235,2.42E-05,0.000581872,LOC105377286
RPS24,-0.618224159,8.897935012,16.96399834,3.81E-05,0.000757397,RPS24
TMEM106C,-0.618287278,5.775337648,19.90579387,8.14E-06,0.000305797,TMEM106C
EAPP,-0.618437075,5.35023748,20.26950935,6.73E-06,0.000273861,EAPP
RPL39L,-0.618442549,3.263558359,14.31266846,0.000154819,0.001916843,RPL39L
ANXA2,-0.618445772,10.518638,16.79727055,4.16E-05,0.000805466,ANXA2
USP16,-0.618758445,6.149695233,10.36063267,0.001287311,0.008277918,USP16
NDUFB7,-0.618821615,5.818764402,22.39236897,2.22E-06,0.000163777,NDUFB7
LAMTOR3,-0.618865611,5.188517462,13.89518576,0.000193293,0.002228771,LAMTOR3
MRPL36,-0.618957073,3.757793385,17.91717921,2.31E-05,0.000566761,MRPL36
NSL1,-0.618983956,4.538735003,17.66281618,2.64E-05,0.000605152,NSL1
RPS27A,-0.619083538,8.091911348,19.54007366,9.85E-06,0.000339729,RPS27A
RPL23AP7,-0.619095347,1.918738393,10.2298222,0.00138188,0.00870446,RPL23AP7
GPR87,-0.619209602,5.365499717,19.21150924,1.17E-05,0.000368203,GPR87
BET1,-0.619304252,4.003219972,11.81179408,0.000588567,0.004808168,BET1
CWC15,-0.619387407,5.299478462,21.34119322,3.84E-06,0.000201393,CWC15
SYNJ2BP-COX16,-0.61939824,5.354275583,19.29212642,1.12E-05,0.000361257,SYNJ2BP-COX16
CEP70,-0.619469243,4.838868398,15.43299497,8.55E-05,0.001298249,CEP70
MITD1,-0.619622193,3.406018122,15.35526567,8.91E-05,0.001333551,MITD1
ABITRAM,-0.619797171,6.201833942,14.87300467,0.000114997,0.001580554,ABITRAM
SERPINB4,-0.619816388,7.323064743,18.89644802,1.38E-05,0.00041444,SERPINB4
COPS2,-0.619819851,5.896145098,12.26992545,0.000460317,0.004086699,COPS2
UBE3D,-0.620046522,3.362307806,12.69271586,0.000367083,0.00349831,UBE3D
VNN2,-0.620088938,4.266889851,8.994865077,0.002707393,0.014294011,VNN2
PSMA5,-0.620165646,6.865584973,16.22380546,5.63E-05,0.000985105,PSMA5
S100A9,-0.620260775,8.078436719,22.10523356,2.58E-06,0.000174083,S100A9
WASHC3,-0.620387796,4.521795977,20.46676932,6.07E-06,0.000258012,WASHC3
KCTD16,-0.620619713,0.03874191,5.805965768,0.015971893,0.05113511,KCTD16
BCDIN3D-AS1,-0.620877307,0.551084173,5.97724517,0.014491621,0.047731341,BCDIN3D-AS1
MAGOH2P,-0.621084649,1.894167557,12.74405762,0.000357142,0.00343826,MAGOH2P
SLC30A9,-0.621644828,6.305395774,13.4752968,0.000241725,0.002615512,SLC30A9
PXN-AS1,-0.621701691,0.454892123,5.848713898,0.01558844,0.050323441,PXN-AS1
RPS4Y1,-0.62202632,6.985174989,9.775996294,0.001768049,0.010418079,RPS4Y1
GLYATL2,-0.622113182,0.241982508,4.407299138,0.035785456,0.092305212,GLYATL2
CAPZA1,-0.622283538,7.185188538,14.22367834,0.000162315,0.001977235,CAPZA1
FUNDC1,-0.622498592,3.856404286,15.33496334,9.00E-05,0.001340203,FUNDC1
TCTEX1D1,-0.622627726,5.120506761,11.36359488,0.000748977,0.005662312,TCTEX1D1
KIF9,-0.622639353,5.933742181,20.18596057,7.03E-06,0.000281754,KIF9
FAM228B,-0.622762019,3.182685604,13.49985155,0.000238582,0.002596388,FAM228B
SAMD13,-0.622925123,1.069223302,4.054672665,0.044049258,0.107559658,SAMD13
LOC105372270,-0.622962203,1.351135981,8.503055129,0.003545507,0.017387948,LOC105372270
LOC112268267,-0.623274437,2.529690328,10.58635612,0.001139253,0.007619043,LOC112268267
CLUL1,-0.623289553,0.035412443,4.584583766,0.032260806,0.085551171,CLUL1
LOC100134317,-0.623325976,0.465902655,6.142144477,0.013199714,0.044714438,LOC100134317
CCT8,-0.623589058,7.34325651,18.33932787,1.85E-05,0.000497715,CCT8
PSMB7,-0.624825072,6.256477662,23.1976786,1.46E-06,0.000126894,PSMB7
TAF9,-0.624897006,5.436359692,18.58776827,1.62E-05,0.000456819,TAF9
POP4,-0.625116543,4.988960507,18.77912148,1.47E-05,0.000432986,POP4
BBS12,-0.625232501,4.721303392,15.62293772,7.73E-05,0.001216441,BBS12
RAMAC,-0.625264391,4.48571765,18.63343806,1.58E-05,0.000449389,RAMAC
THYN1,-0.62570193,5.24225495,16.44459684,5.01E-05,0.000910531,THYN1
PSMA4,-0.625876444,6.860231792,14.27627901,0.000157842,0.001941528,PSMA4
MRPS28,-0.625926234,4.446066721,19.23113393,1.16E-05,0.000365844,MRPS28
ALG14,-0.626082861,3.015356494,10.97932727,0.000921339,0.006555262,ALG14
SPATA7,-0.626467595,4.4578256,19.35409761,1.09E-05,0.000358904,SPATA7
ASAH2,-0.626826513,0.57773274,4.098325176,0.042925716,0.105571937,ASAH2
LINC00479,-0.627039494,1.76835172,7.091937338,0.00774315,0.030792198,LINC00479
LOC105370259,-0.627261656,4.069876356,9.307602042,0.00228205,0.01253012,LOC105370259
MAP3K19,-0.627525869,7.519569134,12.3371767,0.000444026,0.003985154,MAP3K19
UQCR11,-0.627847662,6.29524601,18.92350128,1.36E-05,0.000410235,UQCR11
LINC00240,-0.628114896,2.744639232,8.355535006,0.003845142,0.018416382,LINC00240
CCDC110,-0.628211361,0.647103721,4.848668947,0.027667475,0.076236027,CCDC110
ERICH2,-0.628231528,3.987895043,12.75011465,0.000355987,0.00342933,ERICH2
MIA,-0.628240547,2.481462082,8.312343811,0.003937655,0.018697979,MIA
CYSRT1,-0.62825665,2.154652701,13.29940905,0.00026549,0.002777296,CYSRT1
PLA2G10,-0.62875508,2.517393136,12.25792042,0.000463288,0.004095763,PLA2G10
CDKL2,-0.628911874,3.267330697,11.95654735,0.000544557,0.004557081,CDKL2
RNF181,-0.629527108,4.939393843,23.52942628,1.23E-06,0.000113833,RNF181
IFT43,-0.629647998,6.268011382,15.86667243,6.80E-05,0.001119534,IFT43
RPS3A,-0.630026837,8.400567599,16.85434083,4.04E-05,0.000790819,RPS3A
NUP35,-0.630150183,3.515864355,13.21590296,0.000277584,0.002867922,NUP35
CCT2,-0.630192251,7.639780386,15.87982199,6.75E-05,0.001115008,CCT2
TMEM44-AS1,-0.630234499,2.044784229,9.519088431,0.002033456,0.011525459,TMEM44-AS1
UBA3,-0.630309537,5.948143261,12.9430176,0.000321117,0.003174393,UBA3
C11orf71,-0.630387463,3.912237319,12.34803103,0.000441452,0.003977638,C11orf71
ANXA3,-0.630561917,6.058588224,11.68950706,0.000628535,0.005023295,ANXA3
SNRPD2,-0.630688664,6.376224432,21.07635611,4.41E-06,0.00021843,SNRPD2
FSD1L,-0.63073001,5.031925157,8.384105968,0.003785164,0.018191185,FSD1L
MTTP,-0.63110203,1.906460453,8.180226102,0.004234948,0.019658541,MTTP
ZMAT2,-0.631593776,6.618319713,20.14832821,7.17E-06,0.000283363,ZMAT2
KRT42P,-0.631802655,3.436596356,10.49927046,0.001194217,0.007859976,KRT42P
ZNF680,-0.632352462,3.969958974,8.926059825,0.002811302,0.014658168,ZNF680
TPRKB,-0.632617975,3.430078979,12.01096022,0.000528886,0.004480551,TPRKB
ENPP4,-0.632646917,5.724246141,8.199344821,0.004190552,0.019536029,ENPP4
MRPL50,-0.633054875,4.97006799,13.93091879,0.000189653,0.002203137,MRPL50
NUDT5,-0.633195291,6.381730913,19.78770543,8.65E-06,0.000311969,NUDT5
TBCA,-0.633293279,5.731451524,16.47059863,4.94E-05,0.000902472,TBCA
C11orf97,-0.633407276,4.868399999,14.07641869,0.000175531,0.002084427,C11orf97
ANXA1,-0.633428496,9.938996413,12.12125531,0.000498503,0.004307638,ANXA1
NDUFB2,-0.633476661,5.581426837,19.90032841,8.16E-06,0.000305797,NDUFB2
AKR1C3,-0.633479762,7.325322967,25.66029346,4.07E-07,5.80E-05,AKR1C3
LOC105379827,-0.633603932,1.310144058,5.727382779,0.016702357,0.052791191,LOC105379827
LOC105372578,-0.633730851,5.431045554,15.87807488,6.76E-05,0.001115008,LOC105372578
LOC100288798,-0.634349087,3.312516102,12.45346611,0.000417217,0.003801002,LOC100288798
CEP162,-0.634418818,5.89365055,14.40054759,0.000147759,0.001859921,CEP162
SSBP1,-0.634420472,5.834051913,19.69598543,9.08E-06,0.000319479,SSBP1
CCDC89,-0.634527208,5.140828989,12.3180623,0.000448596,0.004013963,CCDC89
GLIPR1L2,-0.634646014,1.445309671,8.765007545,0.003070648,0.015659972,GLIPR1L2
