Gene,logFC,logCPM,LR,PValue,FDR
ZNF442,1.006873498,0.898435816,19.24139757,1.15E-05,0.000116326
AURKB,1.006121273,0.700630355,17.5715433,2.77E-05,2.32E-04
LTB4R,1.004829927,4.915337728,45.00446451,1.97E-11,2.27E-09
CCDC144A,1.004587518,1.809718696,25.30579596,4.89E-07,9.76E-06
USP30-AS1,1.002892576,-0.004057304,7.838167257,5.12E-03,1.55E-02
RBM33,1.002493977,5.334602185,72.09208009,2.05E-17,2.22E-14
PPP1R15A,1.002385346,6.752762152,23.98179998,9.73E-07,1.68E-05
NECTIN1,1.00061715,6.488393175,48.0314295,4.19E-12,6.40E-10
TPTE2P1,1.000003375,0.715059006,15.56598669,7.97E-05,5.39E-04
SPRR2G,0.99923143,-0.238197263,6.161713756,0.013054467,0.03336117
NAV2,0.997434187,5.596858608,14.00494389,0.000182331,0.001045168
HES1,0.996970174,5.536574812,17.21998914,3.33E-05,0.000267535
JUNB,0.995266623,6.639204029,9.930238191,0.001625855,0.006128784
CDK5R1,0.994617217,2.610682021,43.30396513,4.69E-11,4.75E-09
EPHB2,0.994381391,5.549181347,63.77514856,1.39E-15,9.48E-13
MARVELD1,0.994200287,4.419947794,57.35102991,3.65E-14,1.25E-11
IL1B,0.994087316,5.772566858,12.69218384,0.000367187,0.001840319
COL1A1,0.993263932,6.271818986,38.83402624,4.61E-10,3.39E-08
UBE2L6,0.99309591,5.975013963,7.421834381,0.006443709,0.01881822
PRDM11,0.992839907,3.582605334,48.57164572,3.18E-12,5.01E-10
PRICKLE3,0.992148558,3.105917988,40.92878614,1.58E-10,1.35E-08
THBD,0.991676432,2.670591505,28.24817284,1.07E-07,2.86E-06
FAM239A,0.99121964,0.307315361,7.03068941,0.00801245,0.022458037
PLXNA3,0.99060194,5.391250235,54.26887091,1.75E-13,4.48E-11
LIF,0.990573765,5.854213986,24.0282549,9.49E-07,1.66E-05
KLF10,0.989505964,6.146807211,7.724476656,5.45E-03,1.64E-02
FOXP1,0.988960526,5.61070604,24.11609613,9.07E-07,1.60E-05
CGAS,0.988557619,1.640179058,12.10598685,0.000502602,0.00237565
SORCS2,0.986719431,3.819748388,46.0205568,1.17E-11,1.46E-09
MALL,0.984861338,1.374764052,8.21600351,4.15E-03,0.013087048
SH2B2,0.984269215,0.441383695,8.63064378,3.31E-03,0.010843458
DGKD,0.983988186,3.360017891,49.39388806,2.09E-12,3.56E-10
UBR4,0.982934054,7.636426618,33.02270802,9.11E-09,3.89E-07
SRRM3,0.982580692,1.6660321,24.91056243,6.01E-07,1.16E-05
ARID1A,0.982016723,6.528807835,52.73752878,3.81E-13,8.25E-11
PIM3,0.981313726,5.791074641,35.84073547,2.14E-09,1.20E-07
AP5B1,0.980952638,4.947482596,35.00229358,3.29E-09,1.69E-07
ITPR3,0.979418463,7.287293713,39.73410531,2.91E-10,2.24E-08
C1QTNF12,0.979182902,0.901792961,21.15263132,4.24E-06,5.34E-05
ANKRD11,0.979107363,6.408018931,53.87442413,2.14E-13,5.38E-11
SPTBN5,0.979097977,1.728526386,21.13541038,4.28E-06,5.38E-05
ADAMTS17,0.978831227,0.79240165,15.27050917,9.32E-05,6.08E-04
FANCA,0.978409082,3.055123326,7.637650417,5.72E-03,1.71E-02
ABCC1,0.978326708,6.476205922,54.94269483,1.24E-13,3.47E-11
VEGFA,0.977529971,5.384193762,19.61155942,9.49E-06,0.000100378
LOC101928762,0.975604476,0.625623696,18.92701892,1.36E-05,1.33E-04
MUC5AC,0.975510611,6.324434921,59.93674838,9.80E-15,4.78E-12
MST1R,0.975489298,4.930092878,32.04755162,1.50E-08,5.88E-07
TSHZ3,0.971715216,2.508238275,17.95321467,2.26E-05,2.00E-04
MIR6891,0.970923366,4.197190017,28.18020237,1.11E-07,2.95E-06
TLE3,0.970584983,4.79278452,52.04435548,5.43E-13,1.09E-10
SLX4,0.970574215,2.932060736,29.34054018,6.07E-08,1.79E-06
APOL1,0.969558327,6.651533473,8.446308284,0.003657852,0.011786845
SLCO3A1,0.969073321,3.991537267,29.91099618,4.52E-08,1.39E-06
SBNO2,0.968362396,6.146631341,38.60225284,5.20E-10,3.72E-08
BMP1,0.968257022,5.701988689,55.55035588,9.11E-14,2.70E-11
SEZ6L2,0.967935731,3.354316013,39.5819128,3.15E-10,2.39E-08
JAK3,0.967466261,1.260953092,10.78548808,0.001022989,0.004230781
DBP,0.965292591,1.984481257,24.3563731,8.01E-07,1.45E-05
PKMYT1,0.964978823,0.562219258,9.888847293,0.001662835,0.006240172
BRD4,0.963443966,5.181988021,72.14514909,2.00E-17,2.22E-14
CHD7,0.963424784,5.118388208,41.05617301,1.48E-10,1.29E-08
MEF2D,0.963194837,4.968668912,61.03672664,5.60E-15,2.92E-12
PNPLA3,0.962500031,1.559066339,11.66528175,0.000636773,0.002851988
MXD1,0.959879133,5.327920548,24.88269794,6.09E-07,1.17E-05
TEAD4,0.95902667,1.369248698,22.98851778,1.63E-06,2.52E-05
ASAP1,0.957761057,3.976358937,53.76891176,2.26E-13,5.59E-11
C1S,0.957555331,4.184717032,6.898520368,0.008626712,0.023843733
SIK3,0.957549806,5.277018568,55.16159096,1.11E-13,3.17E-11
TNS4,0.953062828,5.612154615,43.33960391,4.60E-11,4.73E-09
CIC,0.951991218,5.759510386,60.64380451,6.84E-15,3.45E-12
SLC7A5,0.951952531,4.76353971,30.2151412,3.87E-08,1.22E-06
BRD1,0.951093156,5.277159849,62.2536648,3.02E-15,1.69E-12
CD68,0.951075941,4.704189425,10.72162568,0.001058906,0.004361423
BMS1P4,0.950350034,1.180525826,15.52968289,8.12E-05,5.46E-04
GPSM1,0.94991235,2.100527359,17.28206152,3.22E-05,2.61E-04
CORO6,0.949265719,1.317426667,9.902205611,0.001650808,0.00620428
BISPR,0.94903347,3.133171222,5.570311974,0.018267506,0.043772805
ENG,0.948139831,2.152848191,10.18965319,0.001412309,0.005473964
METRNL,0.945312954,4.125133216,15.56399062,7.98E-05,5.39E-04
SP6,0.94427363,2.393697444,6.159463243,0.013071087,0.033397996
IQGAP3,0.943055408,2.103903317,11.59641581,0.00066079,0.002942123
ZSWIM6,0.943013682,5.076946684,19.67450137,9.18E-06,9.78E-05
CRABP2,0.942717665,5.098954492,15.93576645,6.55E-05,4.61E-04
SLC25A28,0.939188991,4.779908077,12.58931395,0.000387959,0.001930343
EVPLL,0.939034461,1.906610493,21.76543086,3.08E-06,4.15E-05
ZYX,0.938153493,5.77642349,41.7123043,1.06E-10,9.58E-09
SEMA6D,0.937803315,0.194473913,7.594988347,0.005853077,0.017385561
MIDN,0.937581585,5.870365233,41.07421952,1.47E-10,1.28E-08
ECM1,0.937566579,1.703182474,7.843290431,0.005100967,0.015498738
ASPHD2,0.935970872,1.112306266,11.58982407,0.000663137,0.002950832
SYDE1,0.935801076,-0.011789255,9.170579306,0.002459367,0.008520695
PLCD3,0.935604565,5.054835492,29.04838755,7.06E-08,2.02E-06
SPRED2,0.934881244,4.019668222,52.95782829,3.41E-13,7.93E-11
LOC344967,0.934722994,0.36123423,8.759620317,0.003079732,0.010235977
FOXM1,0.934698961,2.413434617,31.58824193,1.91E-08,7.13E-07
CXCL16,0.934511381,6.129663457,26.17981488,3.11E-07,6.78E-06
PRKD2,0.933945135,5.316054987,15.639613,7.66E-05,0.000521423
BCL9L,0.933626315,6.455376046,19.00553072,1.30E-05,1.29E-04
TFAP2A,0.933478633,4.500110677,46.24885321,1.04E-11,1.35E-09
PPP1R13L,0.932998912,4.991475951,58.44491924,2.09E-14,8.54E-12
CDK18,0.931262653,3.747588599,39.99877455,2.54E-10,2.01E-08
MUC4,0.931083227,9.361348658,11.62416951,0.000651003,0.00290625
DENND4B,0.930981079,4.153799183,56.71988443,5.03E-14,1.65E-11
TMEM201,0.930859281,2.497029653,30.94746472,2.65E-08,9.13E-07
L1CAM,0.930773644,3.153308234,7.646993591,0.005686701,0.016984821
EME2,0.930291139,1.627381754,24.28896303,8.29E-07,1.50E-05
ANO1,0.930271451,2.441359784,14.14736218,0.000169034,0.000983494
FN1,0.930188139,11.73304156,9.351415881,0.002228133,0.007876626
SLC26A6,0.92912643,2.9346183,38.30213316,6.06E-10,4.24E-08
MPP3,0.928161691,1.384189082,10.2070988,0.001399011,0.005439158
SETD1B,0.9272757,4.830440835,52.78355018,3.72E-13,8.25E-11
NOTCH2,0.927198826,6.763276794,35.53063329,2.51E-09,1.36E-07
NPTXR,0.92694705,3.0443045,19.28117037,1.13E-05,0.000114994
LOC107985544,0.926460621,0.572814867,6.900803824,0.0086157,0.02382201
EP300,0.925762628,6.469285937,41.46331739,1.20E-10,1.07E-08
ZNF462,0.924215558,4.724218994,56.47910271,5.68E-14,1.75E-11
FSCN1,0.924043966,5.136507283,31.89066271,1.63E-08,6.27E-07
BBC3,0.922576894,3.508061494,39.25149857,3.73E-10,2.80E-08
IPCEF1,0.922412987,1.488702841,21.68197798,3.22E-06,4.31E-05
AXL,0.920319915,3.434262084,33.32985354,7.78E-09,3.45E-07
SHANK3,0.919919213,2.832501132,38.45374248,5.61E-10,3.98E-08
P2RY11,0.91970566,1.9515706,26.95747652,2.08E-07,4.98E-06
LOC107984387,0.917734632,0.971801351,9.507802363,0.002046001,0.007368917
ERVMER34-1,0.917437638,0.853821997,7.780101935,0.005282482,0.015969999
LOC729218,0.917306947,2.895169204,29.67506202,5.11E-08,1.55E-06
SQSTM1,0.917186043,9.219407828,6.53391972,0.010583648,0.028032665
ZC3H12A,0.91630292,6.475032403,12.72784703,0.000360251,0.001810959
FAM171A1,0.915570582,3.60419666,34.95569032,3.37E-09,1.73E-07
TLN2,0.915357241,2.247669402,26.51561232,2.61E-07,5.91E-06
TCF7L2,0.915266331,4.215577395,47.87288881,4.55E-12,6.79E-10
DIP2C,0.914372415,2.865720717,21.36877688,3.79E-06,4.88E-05
KRT17P2,0.914340229,4.728525235,21.27316136,3.98E-06,5.08E-05
SHB,0.914321199,4.56361235,15.3061152,9.14E-05,0.000599006
