Gene,logFC,logCPM,LR,PValue,FDR
COX6C,-0.134072465,6.096503652,0.262670937,0.608291095,0.996621727
MRPL54,-0.209067834,4.298642359,0.262397157,0.608478039,0.996621727
TBC1D9,0.145742416,6.075695134,0.262287865,0.6085527,0.996621727
CCT8,-0.113463267,7.009962561,0.262259468,0.608572102,0.996621727
LOC100507642,0.211660468,1.769061368,0.262256103,0.608574402,0.996621727
TRIM8,0.132812559,7.146495705,0.262229079,0.608592867,0.996621727
UQCRQ,-0.221393519,5.979839634,0.262189686,0.608619787,0.996621727
NUDT9,0.109646746,5.00817509,0.262188921,0.608620309,0.996621727
ADNP,0.099944981,6.656365649,0.262176845,0.608628562,0.996621727
TUBB,0.145317745,7.902425966,0.262158171,0.608641325,0.996621727
PLIN4,-0.135818473,2.002228987,0.262086831,0.608690085,0.996621727
PPP1R1C,0.185292824,1.136460301,0.262084544,0.608691649,0.996621727
SLC39A11,-0.116203385,5.135804655,0.261979108,0.60876373,0.996621727
MDH2,0.110697637,6.849720786,0.26168885,0.608962259,0.996621727
PTPN1,0.138152015,6.017564575,0.261590355,0.609029659,0.996621727
GPR135,-0.21018674,3.379791266,0.261506513,0.609087044,0.996621727
CKAP2,0.140543055,5.058648856,0.261386445,0.609169244,0.996621727
RCAN3AS,-0.411198503,0.455633685,0.261360831,0.609186783,0.996621727
DGAT1,0.146228649,4.525000738,0.261315094,0.609218104,0.996621727
CITED2,0.118171661,5.474960594,0.261271977,0.609247634,0.996621727
PIP,0.241561353,2.059310861,0.261064788,0.609389573,0.996621727
THAP9-AS1,0.108092476,4.419260612,0.260787943,0.609579344,0.996621727
TMEM99,-0.232251001,3.945299293,0.260698829,0.609640456,0.996621727
SERPINI1,0.18025945,1.716097105,0.260649752,0.609674118,0.996621727
HAUS6,0.134687775,3.527834936,0.260570653,0.609728379,0.996621727
DLD,-0.113276207,6.477964805,0.260551809,0.609741308,0.996621727
APTX,-0.132536686,4.884676203,0.260218764,0.609969901,0.996621727
PDCD4,0.132585245,7.540758646,0.259858034,0.610217704,0.996621727
COMTD1,-0.249215854,2.5750096,0.259717992,0.610313964,0.996621727
ABCG1,-0.140691927,4.723190552,0.259645411,0.610363867,0.996621727
MRPL24,-0.140249313,4.31627403,0.259605668,0.610391196,0.996621727
SHTN1,0.156934219,4.833112879,0.259581212,0.610408014,0.996621727
LOC100294145,0.132833812,3.444712763,0.259579321,0.610409314,0.996621727
KEAP1,0.109797968,5.794210622,0.259530771,0.610442704,0.996621727
LYAR,-0.143767108,3.149427707,0.259505007,0.610460425,0.996621727
SNX5,0.098469351,5.428970405,0.259400209,0.610532519,0.996621727
TIMELESS,-0.099885468,4.071273858,0.259307986,0.610595977,0.996621727
PUSL1,-0.14011949,3.65229616,0.259305728,0.610597531,0.996621727
LPGAT1,0.146171966,5.686578182,0.259295912,0.610604285,0.996621727
PPIL4,-0.108711906,5.24725603,0.259084965,0.610749494,0.996621727
SLC9B2,0.163085824,2.571010628,0.258790746,0.610952148,0.996621727
CNPY3-GNMT,0.117054364,2.702426522,0.258470792,0.611172693,0.996621727
SFXN2,-0.124988308,3.913288434,0.258438043,0.611195277,0.996621727
MIR10393,0.191084533,7.196041791,0.258368199,0.611243447,0.996621727
SEPTIN3,-0.194369505,0.520449512,0.258332467,0.611268093,0.996621727
DHRS11,0.186665748,2.461412036,0.258255762,0.61132101,0.996621727
JUND,0.148074537,5.625818032,0.258140667,0.611400429,0.996621727
ZBTB6,0.152736053,3.848805945,0.25771952,0.611691221,0.996621727
RPS27L,0.149740319,5.567679681,0.257708442,0.611698874,0.996621727
MIR6833,-0.228607,0.450827858,0.257640823,0.611745594,0.996621727
STBD1,0.133153066,4.152514961,0.257621068,0.611759244,0.996621727
