genes	cluster
MELK	AgeDown
MESTP1	AgeUp
METAP1	AgeDown
MFAP4	AgeUp
MFGE8	AgeUp
MGAT4C	AgeUp
MINDY4	AgeUp
MIR3142HG	AgeDown
MIR497HG	AgeUp
MKI67	AgeDown
MLST8	AgeDown
MMP12	AgeDown
MMP15	AgeDown
MMP2	AgeUp
MMRN2	AgeDown
MND1	AgeDown
MOCS1	AgeUp
MPDU1	AgeDown
MPP2	AgeUp
MPPED2	AgeUp
MRPL12	AgeDown
MRPL15	AgeDown
MRPL3	AgeDown
MRPL37	AgeDown
MRPL39	AgeDown
MRPL47	AgeDown
MRPL58	AgeDown
MRPS16	AgeDown
MRPS22	AgeDown
MRPS33	AgeDown
MRPS35	AgeDown
MSC-AS1	AgeUp
MSRB3	AgeUp
MT-TH	AgeDown
MTCH2	AgeDown
MTCO3P5	AgeUp
MTHFD2P1	AgeUp
MTRNR2L12	AgeDown
MUC13	AgeUp
MUCL1	AgeDown
MUSK	AgeUp
MXI1	AgeUp
MYBL2	AgeDown
MYCBP2	AgeUp
MYCN	AgeDown
MYH10	AgeUp
MYH7B	AgeUp
MYOZ1	AgeUp
N4BP3	AgeUp
NALCN	AgeUp
NALCN-AS1	AgeUp
NARS2	AgeDown
NBL1	AgeUp
NCAPG	AgeDown
NCAPH	AgeDown
NCKIPSD	AgeUp
NDC1	AgeDown
NDUFA7	AgeDown
NDUFV2	AgeDown
NEFH	AgeDown
NEGR1	AgeUp
NEK2	AgeDown
NEK9	AgeUp
NEURL1B	AgeUp
NFASC	AgeUp
NFATC4	AgeUp
NFYB	AgeUp
NIPAL1	AgeDown
NLGN2	AgeUp
NLGN4X	AgeUp
NLN	AgeDown
NNAT	AgeDown
NOC2LP1	AgeDown
NOL11	AgeDown
NOS2	AgeUp
NOX4	AgeUp
NPAS3	AgeUp
NPC1L1	AgeUp
NPM1	AgeDown
NPM1P27	AgeDown
NPR2	AgeUp
NPY5R	AgeUp
NR2F2	AgeUp
NR5A1	AgeDown
NTF3	AgeUp
NTRK2	AgeUp
NTRK3	AgeUp
NUF2	AgeDown
NUGGC	AgeUp
NUMBL	AgeUp
NUP93	AgeDown
NUSAP1	AgeDown
NXT2	AgeDown
OBP2A	AgeUp
OIP5	AgeDown
ORC1	AgeDown
ORC6	AgeDown
ORM1	AgeDown
ORM2	AgeDown
P2RX2	AgeUp
PAFAH1B3	AgeDown
PALLD	AgeUp
PARD3	AgeUp
PARD6G	AgeUp
PARP1	AgeDown
PBDC1	AgeDown
PBK	AgeDown
PBX4	AgeUp
PBXIP1	AgeUp
PCDH10	AgeUp
PCDHA2	AgeUp
PCDHA3	AgeUp
PCDHA4	AgeUp
PCDHA5	AgeUp
PCDHA6	AgeUp
PCDHB10	AgeUp
PCDHB14	AgeUp
PCDHB2	AgeUp
PCDHB4	AgeUp
PCDHB9	AgeUp
PCDHGA1	AgeUp
PCDHGA12	AgeUp
PCDHGA7	AgeUp
PCDHGB1	AgeUp
PCDHGB2	AgeUp
PCK2	AgeDown
PCLAF	AgeDown
PCLO	AgeDown
PCNA	AgeDown
PDE1A	AgeUp
PDE2A	AgeUp
PDGFD	AgeUp
PDGFRB	AgeUp
PDIA2	AgeUp
PDIK1L	AgeDown
PDZD4	AgeUp
PDZK1IP1	AgeDown
PEG10	AgeDown
PEX3	AgeDown
PGA5	AgeDown
PGR-AS1	AgeUp
PHB	AgeDown
PHGDH	AgeDown
PI3	AgeDown
PICSAR	AgeDown
PIGU	AgeDown
PIMREG	AgeDown
PITX1	AgeUp
PKD2	AgeUp
PKMYT1	AgeDown
PLB1	AgeUp
PLCE1	AgeUp
PLCG1	AgeUp
PLEK2	AgeDown
PLEKHF1	AgeUp
PLGRKT	AgeDown
PLK1	AgeDown
PLK4	AgeDown
PLN	AgeUp
PLRG1	AgeDown
PLXDC2	AgeUp
PNLDC1	AgeUp
POLE2	AgeDown
POLQ	AgeDown
POMC	AgeDown
PPP1R1A	AgeUp
PRC1	AgeDown
PRR11	AgeDown
PTCHD4	AgeUp
PTPRN	AgeDown
PTTG1	AgeDown
QRFPR	AgeDown
RAD51	AgeDown
RAD51AP1	AgeDown
RAD54L	AgeDown
RBFOX3	AgeUp
RFTN2	AgeUp
RNU4-2	AgeUp
RP11-135D11.2	AgeUp
RP11-146D12.2	AgeUp
RP11-159H22.2	AgeUp
RP11-178L8.9	AgeUp
RP11-17P16.2	AgeUp
RP11-203P23.2	AgeDown
RP11-217B1.2	AgeDown
RP11-320G24.1	AgeDown
RP11-50D9.3	AgeUp
RP11-54O7.16	AgeUp
RP11-83M16.6	AgeUp
RRM2	AgeDown
SCT	AgeUp
SGO1	AgeDown
SGPL1	AgeDown
SHCBP1	AgeDown
SHCBP1L	AgeDown
SKA1	AgeDown
SKA3	AgeDown
SLC4A3	AgeUp
SOST	AgeUp
SPAG5	AgeDown
SPC24	AgeDown
STARD3	AgeUp
STIL	AgeDown
SUSD5	AgeUp
TCF19	AgeDown
TENT5A	AgeUp
TLCD3A	AgeDown
TMEM130	AgeUp
TMEM95	AgeUp
